"ii","Dim2","rr","Val"
"coa","isr","CHN",0.0235626641660929
"coa","isr","CAN",0.00148038228508085
"coa","isr","USA",0.048352088779211
"coa","isr","MEX",5.07778422615957E-5
"coa","isr","BRA",0.000212649698369205
"coa","isr","RUS",0.0398133397102356
"coa","isr","LAM",0.000407154442655155
"coa","isr","EUR",0.0235869602138337
"coa","isr","ROE",0.0146284219590598
"coa","isr","REA",0.0140602955143549
"coa","isr","ANZ",0.000115457169158617
"coa","isr","MES",6.33887029835023E-5
"coa","isr","AFR",0.0107920675800415
"coa","isr","IDZ",0.00103388004936278
"coa","obs","CHN",11.2218904495239
"coa","obs","IND",1.11260950565338
"coa","obs","CAN",0.0118749886751175
"coa","obs","USA",0.211474612355232
"coa","obs","MEX",0.000280664826277643
"coa","obs","BRA",0.000848378636874259
"coa","obs","RUS",0.177391976118088
"coa","obs","LAM",0.00684561704838416
"coa","obs","EUR",1.04692676187551
"coa","obs","ROE",0.431837823009118
"coa","obs","ASI",0.00376591132953763
"coa","obs","REA",0.983490105118108
"coa","obs","ANZ",0.215977774583735
"coa","obs","MES",0.00100234500132501
"coa","obs","AFR",1.4137402367196
"coa","obs","IDZ",0.00305496877990663
"coa","ros","CHN",12.4112186431885
"coa","ros","IND",0.165363505482674
"coa","ros","CAN",0.00485929381102324
"coa","ros","USA",0.48599562048912
"coa","ros","MEX",0.00100485351867974
"coa","ros","BRA",0.0008552823564969
"coa","ros","RUS",0.212100803852081
"coa","ros","LAM",0.00131121560116298
"coa","ros","EUR",0.147167262775838
"coa","ros","ROE",0.670917286151962
"coa","ros","ASI",0.343476467824075
"coa","ros","REA",0.633368693517696
"coa","ros","ANZ",0.000943674713198561
"coa","ros","MES",0.00347305343166227
"coa","ros","AFR",3.34471926079459
"coa","ros","IDZ",0.0259058754891157
"coa","osg","CHN",48.321605682373
"coa","osg","KOR",5.50002114323433E-5
"coa","osg","IND",0.0012805222067982
"coa","osg","CAN",0.0385044366121292
"coa","osg","USA",1.93267500400543
"coa","osg","MEX",0.00151201197877526
"coa","osg","BRA",0.00573248416185379
"coa","osg","RUS",7.26710605621338
"coa","osg","LAM",0.00811772837187164
"coa","osg","EUR",0.835541639600706
"coa","osg","ROE",5.14412664948031
"coa","osg","ASI",0.00010515414760448
"coa","osg","REA",5.084154931581
"coa","osg","ANZ",0.134257246128982
"coa","osg","MES",0.00719658704474568
"coa","osg","AFR",1.30777533783112
"coa","osg","IDZ",0.0570424385368824
"coa","dwe","CHN",0.0112004168331623
"coa","dwe","CAN",1.88455633178819E-5
"coa","dwe","USA",0.00025291001657024
"coa","dwe","RUS",0.00265910266898572
"coa","dwe","EUR",0.0153052227460648
"coa","dwe","ROE",0.00074307934846729
"coa","dwe","REA",5.82415359531296E-5
"coa","dwe","AFR",0.000171483967278618
"coa","pdr","CHN",2.1129777431488
"coa","pdr","RUS",0.000778920133598149
"coa","pdr","ROE",0.00518794732124661
"coa","pdr","MES",2.40346325881546E-5
"coa","pdr","AFR",0.000853686942718923
"coa","pdr","IDZ",3.08409507852048E-5
"coa","wht","CHN",1.93157029151917
"coa","wht","IND",5.05920688738115E-5
"coa","wht","CAN",4.18032796005718E-5
"coa","wht","USA",9.42559490795247E-5
"coa","wht","RUS",0.012794722802937
"coa","wht","LAM",0.000261124999269668
"coa","wht","EUR",0.42157012673124
"coa","wht","ROE",0.286065373882593
"coa","wht","REA",0.000899480512089212
"coa","wht","ANZ",0.00276474527890969
"coa","wht","MES",0.000621467654127628
"coa","wht","AFR",0.0403236532583833
"coa","gro","CHN",2.09278035163879
"coa","gro","CAN",1.75294753717026E-5
"coa","gro","USA",0.000234448933042586
"coa","gro","MEX",3.73116490663961E-5
"coa","gro","BRA",5.06601245433558E-5
"coa","gro","RUS",0.00626587681472301
"coa","gro","LAM",0.000344198379025329
"coa","gro","EUR",0.536143320090559
"coa","gro","ROE",0.0445509123092052
"coa","gro","REA",0.00015033631643746
"coa","gro","ANZ",0.00141633223393001
"coa","gro","MES",0.000404895603423938
"coa","gro","AFR",0.135497601355382
"coa","gro","IDZ",1.74439865077147E-5
"coa","v_f","CHN",8.38911437988281
"coa","v_f","IND",8.16760730231181E-5
"coa","v_f","USA",9.56031217356212E-5
"coa","v_f","MEX",4.26650403824169E-5
"coa","v_f","RUS",0.049022302031517
"coa","v_f","LAM",0.00163439424795797
"coa","v_f","EUR",1.34645568315318
"coa","v_f","ROE",0.282851009629667
"coa","v_f","REA",0.00284965476021171
"coa","v_f","ANZ",0.00147342978743836
"coa","v_f","MES",0.00272282236255705
"coa","v_f","AFR",0.222934690697002
"coa","v_f","IDZ",4.22776611230802E-5
"coa","osd","CHN",1.02873945236206
"coa","osd","CAN",1.79734925040975E-5
"coa","osd","USA",6.26554319751449E-5
"coa","osd","BRA",4.89512640342582E-5
"coa","osd","RUS",0.00378667609766126
"coa","osd","LAM",5.6948461860884E-5
"coa","osd","EUR",0.116540457684096
"coa","osd","ROE",0.0193695546404342
"coa","osd","REA",2.34496528719319E-5
"coa","osd","ANZ",9.51853180595208E-5
"coa","osd","MES",9.85655569820665E-5
"coa","osd","AFR",0.270791766733964
"coa","osd","IDZ",2.32450638577575E-5
"coa","c_b","CHN",0.313089460134506
"coa","c_b","BRA",8.65610418259166E-5
"coa","c_b","RUS",0.00231748470105231
"coa","c_b","LAM",2.63007968897E-5
"coa","c_b","EUR",0.0696378949769496
"coa","c_b","ROE",0.00455008261269541
"coa","c_b","REA",1.53012097143801E-5
"coa","c_b","ANZ",2.86529520963086E-5
"coa","c_b","MES",0.000147858329000883
"coa","c_b","AFR",0.0719431862235069
"coa","pfb","CHN",1.24375331401825
"coa","pfb","USA",7.10440363036469E-5
"coa","pfb","BRA",3.46943779732101E-5
"coa","pfb","RUS",2.30217665375676E-5
"coa","pfb","LAM",0.000111228022433352
"coa","pfb","EUR",4.57301775895758E-5
"coa","pfb","ROE",0.0193131107280351
"coa","pfb","REA",1.74309989233734E-5
"coa","pfb","ANZ",0.000773709893110208
"coa","pfb","MES",0.000704951526131481
"coa","pfb","AFR",0.0251610781997442
"coa","ocr","CHN",0.107962153851986
"coa","ocr","USA",1.7838427083916E-5
"coa","ocr","BRA",4.23909878008999E-5
"coa","ocr","RUS",5.59153522772249E-5
"coa","ocr","LAM",2.70673790510045E-5
"coa","ocr","EUR",0.264100726041761
"coa","ocr","ROE",0.00301688454055693
"coa","ocr","REA",0.000891067262273282
"coa","ocr","ANZ",0.000361533815521398
"coa","ocr","MES",9.73508358583786E-5
"coa","ocr","AFR",0.14926912982628
"coa","ocr","IDZ",2.50347566179698E-5
"coa","ctl","CHN",1.67826688289642
"coa","ctl","IND",0.000988314393907785
"coa","ctl","USA",7.91919301263988E-5
"coa","ctl","BRA",4.11139444622677E-5
"coa","ctl","RUS",0.0344744212925434
"coa","ctl","LAM",0.000116070888907416
"coa","ctl","EUR",0.0934429363624076
"coa","ctl","ROE",0.123398698502569
"coa","ctl","REA",0.00679315372690326
"coa","ctl","ANZ",0.149695194570086
"coa","ctl","MES",0.00031938825850375
"coa","ctl","AFR",0.101282871561125
"coa","oap","CHN",8.12007141113281
"coa","oap","IND",0.000542752677574754
"coa","oap","USA",4.77219764434267E-5
"coa","oap","BRA",2.0370956917759E-5
"coa","oap","RUS",0.0526298508048058
"coa","oap","LAM",0.000169208709849045
"coa","oap","EUR",0.618701285809948
"coa","oap","ROE",0.0753611885447754
"coa","oap","REA",0.0333777042251313
