"ii","rr","Val"
"isr","CHN",-0.469962041611639
"isr","JPN",-0.844382986204703
"isr","KOR",-0.70218871559328
"isr","TWN",-0.662873735544209
"isr","IND",-0.276526971753647
"isr","CAN",-0.876291767633205
"isr","USA",-0.860934272233071
"isr","MEX",-0.525059606827801
"isr","BRA",-0.576841905258573
"isr","RUS",-0.58378505419878
"isr","LAM",-0.539011858435333
"isr","EUR",-0.823175128243207
"isr","ROE",-0.500475240853706
"isr","ASI",-0.559538384675106
"isr","REA",-0.284134963254241
"isr","ANZ",-0.893536368717259
"isr","MES",-0.713136309038605
"isr","AFR",-0.435868659672392
"isr","IDZ",-0.383358733579221
"obs","CHN",-0.57709663551193
"obs","JPN",-0.861459864082884
"obs","KOR",-0.731575139402294
"obs","TWN",-0.68861448825201
"obs","IND",-0.41164029775051
"obs","CAN",-0.896993046943101
"obs","USA",-0.872224790655843
"obs","MEX",-0.579210238873174
"obs","BRA",-0.622650884549382
"obs","RUS",-0.656754436367672
"obs","LAM",-0.603052763271969
"obs","EUR",-0.830447059802392
"obs","ROE",-0.548384330903903
"obs","ASI",-0.66661874004794
"obs","REA",-0.472274407739752
"obs","ANZ",-0.849926434916868
"obs","MES",-0.623558087058583
"obs","AFR",-0.542503839358031
"obs","IDZ",-0.482890714318843
"ros","CHN",-0.528265267830172
"ros","JPN",-0.859211459051267
"ros","KOR",-0.72694073296374
"ros","TWN",-0.680875120098828
"ros","IND",-0.341315466712552
"ros","CAN",-0.888209660699605
"ros","USA",-0.862997269868165
"ros","MEX",-0.592221480068092
"ros","BRA",-0.608203166893696
"ros","RUS",-0.633104708549459
"ros","LAM",-0.582055203342599
"ros","EUR",-0.82126916267659
"ros","ROE",-0.596454484811647
"ros","ASI",-0.612854546855057
"ros","REA",-0.366503624534461
"ros","ANZ",-0.898465117347646
"ros","MES",-0.7057378969065
"ros","AFR",-0.478892157724497
"ros","IDZ",-0.436963415996774
"osg","CHN",-0.554720373162099
"osg","JPN",-0.8614810890794
"osg","KOR",-0.743553996291353
"osg","TWN",-0.700926123219302
"osg","IND",-0.407108954001064
"osg","CAN",-0.892177886045882
"osg","USA",-0.881406509437111
"osg","MEX",-0.567543662220789
"osg","BRA",-0.630306229448287
"osg","RUS",-0.640845267237317
"osg","LAM",-0.622783786878994
"osg","EUR",-0.839062221543031
"osg","ROE",-0.571566196863751
"osg","ASI",-0.635232115274952
"osg","REA",-0.361308871924694
"osg","ANZ",-0.924037496123898
"osg","MES",-0.719115627431023
"osg","AFR",-0.494085125074535
"osg","IDZ",-0.437557907419937
"dwe","CHN",-0.558902554158639
"dwe","JPN",-0.878900634101246
"dwe","KOR",-0.745068837659526
"dwe","TWN",-0.721924921989512
"dwe","IND",-0.406437672081942
"dwe","CAN",-0.898491639994547
"dwe","USA",-0.870472505037043
"dwe","MEX",-0.613177572829137
"dwe","BRA",-0.631052238103647
"dwe","RUS",-0.622766561470787
"dwe","LAM",-0.626480953862519
"dwe","EUR",-0.844805751698645
"dwe","ROE",-0.548946181391808
"dwe","ASI",-0.599267379327637
"dwe","REA",-0.387720816422656
"dwe","ANZ",-0.919993698557236
"dwe","MES",-0.704037927136408
"dwe","AFR",-0.462649913874015
"dwe","IDZ",-0.560143620151363
"pdr","CHN",-0.183373979565856
"pdr","JPN",-1.19317403156537E-6
"pdr","KOR",-1.24534670306586E-6
"pdr","TWN",-0.0134463064456991
"pdr","IND",-0.157623836030212
"pdr","CAN",-1.37819178355261E-6
"pdr","USA",-1.15467341134633E-6
"pdr","MEX",-0.0619625399311005
"pdr","BRA",-0.0447987779546544
"pdr","RUS",-0.0555523451487719
"pdr","LAM",-0.0724388188692281
"pdr","EUR",-0.0413061168353253
"pdr","ROE",-0.0838978098135957
"pdr","ASI",-0.119770190495896
"pdr","REA",-0.191883763211951
"pdr","ANZ",-0.108945974602077
"pdr","MES",-0.108293719029761
"pdr","AFR",-0.162227142543462
"pdr","IDZ",-0.145408264959315
"wht","CHN",-0.181749767022392
"wht","JPN",-2.84123462982088E-5
"wht","KOR",-6.01335771506973E-5
"wht","TWN",-0.0134461358260271
"wht","IND",-0.156277005878246
"wht","CAN",-4.23601122112452E-5
"wht","USA",-3.04156209042743E-5
"wht","MEX",-0.0620039037970323
"wht","BRA",-0.0448411144391639
"wht","RUS",-0.0563406419043692
"wht","LAM",-0.102892430458945
"wht","EUR",-0.0094746346655889
"wht","ROE",-0.0779444948044845
"wht","ASI",-0.0583023960867373
"wht","REA",-0.15135556812672
"wht","ANZ",-0.0908111538398449
"wht","MES",-0.114278640171949
"wht","AFR",-0.162064920698905
"wht","IDZ",-0.145415121285263
"gro","CHN",-0.181925834070445
"gro","JPN",-1.81025322828844E-5
"gro","KOR",-0.000438001249515405
"gro","TWN",-0.0138927058914407
"gro","IND",-0.160429782976393
"gro","CAN",-3.88064515331843E-5
"gro","USA",-8.47420677057321E-5
"gro","MEX",-0.0635061257000968
"gro","BRA",-0.0450699106909383
"gro","RUS",-0.0557648922706523
"gro","LAM",-0.113777827873232
"gro","EUR",-0.0243764754034734
"gro","ROE",-0.0922033638269227
"gro","ASI",-0.125080101438874
"gro","REA",-0.14884893099221
"gro","ANZ",-0.0106006318564396
"gro","MES",-0.112969914361183
"gro","AFR",-0.186278804534712
"gro","IDZ",-0.147533065347351
"v_f","CHN",-0.191039364073732
"v_f","JPN",-0.00599476439529462
"v_f","KOR",-0.0122454533150214
"v_f","TWN",-0.0276725966599765
"v_f","IND",-0.189737984321898
"v_f","CAN",-0.00560304272991049
"v_f","USA",-0.00404139788746305
"v_f","MEX",-0.0653290286343521
"v_f","BRA",-0.0456409169132533
"v_f","RUS",-0.0666646261482054
"v_f","LAM",-0.0950707207155024
"v_f","EUR",-0.011913813896112
"v_f","ROE",-0.0895737375916152
"v_f","ASI",-0.123731541139125
"v_f","REA",-0.16931175877296
"v_f","ANZ",-0.0164059672442598
"v_f","MES",-0.11216001023929
"v_f","AFR",-0.252331319182186
"v_f","IDZ",-0.169051691027192
"osd","CHN",-0.182160969362117
"osd","JPN",-3.60996233583112E-5
"osd","KOR",-0.00258089312634012
"osd","TWN",-0.0137421988924116
"osd","IND",-0.159922868953061
"osd","CAN",-4.56438231904763E-5
"osd","USA",-4.96506809861513E-5
"osd","MEX",-0.0619820317480656
"osd","BRA",-0.0448417986159538
"osd","RUS",-0.0557839390817545
"osd","LAM",-0.0899895154071169
"osd","EUR",-0.0151523834585123
"osd","ROE",-0.0596071354410236
"osd","ASI",-0.125575237544105
"osd","REA",-0.152321630127837
"osd","ANZ",-0.0295344184758605
"osd","MES",-0.0745043444323918
"osd","AFR",-0.163037114788765
"osd","IDZ",-0.147415375362581
"c_b","CHN",-0.18282251451673
"c_b","JPN",-1.46547520544216E-5
"c_b","TWN",-0.0134464203352382
"c_b","IND",-0.156695503815861
"c_b","CAN",-6.24679046470571E-5
"c_b","USA",-2.44757608968071E-5
"c_b","MEX",-0.0625798068777791
"c_b","BRA",-0.0448526776058831
"c_b","RUS",-0.0556124469915929
