"ii","rr","Val"
"isr","CHN",1.05993883510694
"isr","JPN",1.02365378340849
"isr","KOR",1.04952997914946
"isr","TWN",1.04616772663793
"isr","IND",1.01423726091262
"isr","CAN",1.01691172733394
"isr","USA",1.00747040473984
"isr","MEX",1.06785979814605
"isr","BRA",1.05834153896132
"isr","RUS",1.09092753707675
"isr","LAM",1.08418067924767
"isr","EUR",1.0281369070672
"isr","ROE",1.12233617228791
"isr","ASI",1.05809123597634
"isr","REA",1.03780000641158
"isr","ANZ",1.01202795913891
"isr","MES",1.07015109388037
"isr","AFR",1.17249097075557
"isr","IDZ",1.07314261296717
"obs","CHN",1.31297210521222
"obs","JPN",1.04580174005948
"obs","KOR",1.10319828162891
"obs","TWN",1.10793513924806
"obs","IND",1.47917959277117
"obs","CAN",1.03782402247844
"obs","USA",1.02422895879545
"obs","MEX",1.17183372551616
"obs","BRA",1.14673071820416
"obs","RUS",1.19480634853212
"obs","LAM",1.20257468140426
"obs","EUR",1.06232459117552
"obs","ROE",1.27672997002174
"obs","ASI",1.19583579956359
"obs","REA",1.45125672576703
"obs","ANZ",1.05647986978863
"obs","MES",1.28951626679095
"obs","AFR",1.40965307044593
"obs","IDZ",1.34595077409552
"ros","CHN",1.24450081493117
"ros","JPN",1.04045895992857
"ros","KOR",1.08976168949338
"ros","TWN",1.09217948866966
"ros","IND",1.32364185757547
"ros","CAN",1.03271236946149
"ros","USA",1.02017135403207
"ros","MEX",1.14457230172785
"ros","BRA",1.1237275932621
"ros","RUS",1.16749837135023
"ros","LAM",1.18395539822691
"ros","EUR",1.0516555915665
"ros","ROE",1.20346387258343
"ros","ASI",1.16184943157649
"ros","REA",1.41741041119647
"ros","ANZ",1.02993132538077
"ros","MES",1.16189200230892
"ros","AFR",1.34965579683791
"ros","IDZ",1.26576505547092
"osg","CHN",1.25262759895695
"osg","JPN",1.04045895992857
"osg","KOR",1.08976168949338
"osg","TWN",1.09217948866966
"osg","IND",1.32364185757547
"osg","CAN",1.03271236946149
"osg","USA",1.02017135403207
"osg","MEX",1.14457230172785
"osg","BRA",1.1237275932621
"osg","RUS",1.16749837135023
"osg","LAM",1.13647627372957
"osg","EUR",1.04976809798979
"osg","ROE",1.25739982300788
"osg","ASI",1.15388759132123
"osg","REA",1.40564768418359
"osg","ANZ",1.02533255122552
"osg","MES",1.16596460234564
"osg","AFR",1.36195154403076
"osg","IDZ",1.26576505547092
"dwe","CHN",1.24671064857072
"dwe","JPN",1.04045895992857
"dwe","KOR",1.08976168949338
"dwe","TWN",1.09217948866966
"dwe","IND",1.32364185757547
"dwe","CAN",1.03271236946149
"dwe","USA",1.02017135403207
"dwe","MEX",1.14457230172785
"dwe","BRA",1.1237275932621
"dwe","RUS",1.16749837135023
"dwe","LAM",1.15030571861877
"dwe","EUR",1.05252801489459
"dwe","ROE",1.20809508184999
"dwe","ASI",1.17155339729778
"dwe","REA",1.35436814566829
"dwe","ANZ",1.02792106077738
"dwe","MES",1.17436109654233
"dwe","AFR",1.3292757676653
"dwe","IDZ",1.26576505547092
"pdr","CHN",0.444784231092359
"pdr","JPN",0.0225025433998242
"pdr","KOR",0.0385047004020288
"pdr","TWN",0.0544031163617288
"pdr","IND",0.608265958647112
"pdr","CAN",0.0178706510508919
"pdr","USA",0.00961971512263471
"pdr","MEX",0.138255517465321
"pdr","BRA",0.105428489854175
"pdr","RUS",0.127021581743412
"pdr","LAM",0.216307367706426
"pdr","EUR",0.119916446751937
"pdr","ROE",0.272516304200583
"pdr","ASI",0.336354409896981
"pdr","REA",0.750707205754544
"pdr","ANZ",0.278572680523455
"pdr","MES",0.290280627818951
"pdr","AFR",0.655625151465426
"pdr","IDZ",0.447778091538336
"wht","CHN",0.441937103263354
"wht","JPN",0.0225025433998242
"wht","KOR",0.0385047004020288
"wht","TWN",0.0544031163617288
"wht","IND",0.608265958647112
"wht","CAN",0.0178706510508919
"wht","USA",0.00961971512263471
"wht","MEX",0.138255517465321
"wht","BRA",0.105428489854175
"wht","RUS",0.127021581743412
"wht","LAM",0.313693630245392
"wht","EUR",0.0409006645553358
"wht","ROE",0.227223103304581
"wht","ASI",0.206331774419115
"wht","REA",0.679483384790181
"wht","ANZ",0.234181557898957
"wht","MES",0.340645134862623
"wht","AFR",0.540781723851842
"wht","IDZ",0.447778091538336
"gro","CHN",0.442313192549228
"gro","JPN",0.0225025433998242
"gro","KOR",0.0385047004020288
"gro","TWN",0.0544031163617288
"gro","IND",0.608265958647112
"gro","CAN",0.0178706510508919
"gro","USA",0.00961971512263471
"gro","MEX",0.138255517465321
"gro","BRA",0.105428489854175
"gro","RUS",0.127021581743412
"gro","LAM",0.352273245214537
"gro","EUR",0.093940118896305
"gro","ROE",0.297179408969476
"gro","ASI",0.396215064088738
"gro","REA",0.690956678680817
"gro","ANZ",0.0427417982386649
"gro","MES",0.296632546371252
"gro","AFR",0.670321549544809
"gro","IDZ",0.447778091538336
"v_f","CHN",0.434772481376323
"v_f","JPN",0.0225025433998242
"v_f","KOR",0.0385047004020288
"v_f","TWN",0.0544031163617288
"v_f","IND",0.608265958647112
"v_f","CAN",0.0178706510508919
"v_f","USA",0.00961971512263471
"v_f","MEX",0.138255517465321
"v_f","BRA",0.105428489854175
"v_f","RUS",0.127021581743412
"v_f","LAM",0.239755663158242
"v_f","EUR",0.0353601013913654
"v_f","ROE",0.225608529614857
"v_f","ASI",0.314509512709712
"v_f","REA",0.666116359043207
"v_f","ANZ",0.0418279504477222
"v_f","MES",0.274108988465341
"v_f","AFR",0.64327948867085
"v_f","IDZ",0.447778091538336
"osd","CHN",0.443122237816658
"osd","JPN",0.0225025433998242
"osd","KOR",0.0385047004020288
"osd","TWN",0.0544031163617288
"osd","IND",0.608265958647112
"osd","CAN",0.0178706510508919
"osd","USA",0.00961971512263471
"osd","MEX",0.138255517465321
"osd","BRA",0.105428489854175
"osd","RUS",0.127021581743412
"osd","LAM",0.265473906755388
"osd","EUR",0.0644780214489267
"osd","ROE",0.186404013601401
"osd","ASI",0.380110690237611
"osd","REA",0.730029347398554
"osd","ANZ",0.0867025840391866
"osd","MES",0.214310244394951
"osd","AFR",0.675047328416481
"osd","IDZ",0.447778091538336
"c_b","CHN",0.444789976785365
"c_b","JPN",0.0225025433998242
"c_b","TWN",0.0544031163617288
"c_b","IND",0.608265958647112
"c_b","CAN",0.0178706510508919
"c_b","USA",0.00961971512263471
"c_b","MEX",0.138255517465321
"c_b","BRA",0.105428489854175
"c_b","RUS",0.127021581743412
"c_b","LAM",0.199213319593266
"c_b","EUR",0.0256559440771194
"c_b","ROE",0.259239304736325
"c_b","ASI",0.189644793764718
"c_b","REA",0.738317699249045
"c_b","ANZ",0.0158930284276962
"c_b","MES",0.331742870954552
"c_b","AFR",0.520637654898762
"c_b","IDZ",0.447778091538336
"pfb","CHN",0.703765922071969
"pfb","JPN",0.902219677416603
"pfb","KOR",0.803976376327624
"pfb","TWN",0.780173816340945
"pfb","IND",0.780474830377218
"pfb","CAN",0.900631645630674
"pfb","USA",0.912596972208588
"pfb","MEX",0.713738839994751
"pfb","BRA",0.730733323015602
"pfb","RUS",0.730616696973961
"pfb","LAM",0.752237014465409
"pfb","EUR",0.88321168119794
"pfb","ROE",0.777528419251991
"pfb","ASI",0.698281718531648
"pfb","REA",0.800293618181306
"pfb","ANZ",0.907339856535629
"pfb","MES",0.728159020445471
"pfb","AFR",0.816602423141597
"pfb","IDZ",0.698834082104502
"ocr","CHN",0.203581189693456
"ocr","JPN",0.0225025433998242
"ocr","KOR",0.0385047004020288
"ocr","TWN",0.0544031163617288
"ocr","IND",0.608265958647112
"ocr","CAN",0.0178706510508919
"ocr","USA",0.00961971512263471
"ocr","MEX",0.138255517465321
"ocr","BRA",0.105428489854175
"ocr","RUS",0.127021581743412
"ocr","LAM",0.332717119569788
"ocr","EUR",0.0520027709238383
"ocr","ROE",0.300197113170491
"ocr","ASI",0.319636614672645
"ocr","REA",0.680132552222086
"ocr","ANZ",0.0220965623832038
"ocr","MES",0.163582366643113
"ocr","AFR",0.678026474287464
"ocr","IDZ",0.447778091538336
"ctl","CHN",0.76855963965572
"ctl","JPN",0.907965723225438
"ctl","KOR",0.814090516001351
"ctl","TWN",0.790671226760815
"ctl","IND",0.785189953909654
"ctl","CAN",0.906172875504207
"ctl","USA",0.917208741321358
"ctl","MEX",0.725629937513239
"ctl","BRA",0.742374665125128
"ctl","RUS",0.742840452021362
"ctl","LAM",0.754807278869308
"ctl","EUR",0.865618205690464
"ctl","ROE",0.785736063339088
"ctl","ASI",0.866133219704663
"ctl","REA",0.84575902219074
"ctl","ANZ",0.835822335255884
"ctl","MES",0.784065141987758
"ctl","AFR",0.901216857647195
"ctl","IDZ",0.706844406014356
"oap","CHN",0.704598018500832
