"ii","Dim2","rr","Val"
"coa","isr","CHN",0.00617022393271327
"coa","isr","CAN",0.000394669885281473
"coa","isr","USA",0.0124570690095425
"coa","isr","MEX",1.31997539938311E-5
"coa","isr","BRA",5.47854651813395E-5
"coa","isr","RUS",0.0102572087198496
"coa","isr","LAM",0.000105180852187914
"coa","isr","EUR",0.00609128008363768
"coa","isr","ROE",0.00377002885943512
"coa","isr","REA",0.00362238839625206
"coa","isr","ANZ",2.97632168440032E-5
"coa","isr","MES",1.64790872076992E-5
"coa","isr","AFR",0.00278612355577934
"coa","isr","IDZ",0.000266361050307751
"coa","obs","CHN",2.93861413002014
"coa","obs","IND",0.286644339561462
"coa","obs","CAN",0.00316587160341442
"coa","obs","USA",0.0544827282428741
"coa","obs","MEX",7.29591192794032E-5
"coa","obs","BRA",0.000218569883145392
"coa","obs","RUS",0.0457019284367561
"coa","obs","LAM",0.00177343679843034
"coa","obs","EUR",0.271343422125938
"coa","obs","ROE",0.111662566341693
"coa","obs","ASI",0.00097022094996646
"coa","obs","REA",0.253379134815077
"coa","obs","ANZ",0.0556620497518452
"coa","obs","MES",0.000260048978816485
"coa","obs","AFR",0.365036326786139
"coa","obs","IDZ",0.000787059077993035
"coa","ros","CHN",3.25005674362183
"coa","ros","IND",0.0426030084490776
"coa","ros","CAN",0.00129548762924969
"coa","ros","USA",0.125208258628845
"coa","ros","MEX",0.000261212728219107
"coa","ros","BRA",0.000220348505536094
"coa","ros","RUS",0.054644051939249
"coa","ros","LAM",0.000339081372658256
"coa","ros","EUR",0.0380863713139661
"coa","ros","ROE",0.172884496245388
"coa","ros","ASI",0.0884906806313666
"coa","ros","REA",0.163176349161859
"coa","ros","ANZ",0.000243245631281752
"coa","ros","MES",0.000902721365491743
"coa","ros","AFR",0.863921971374566
"coa","ros","IDZ",0.00667419424280524
"coa","osg","CHN",12.6537103652954
"coa","osg","KOR",1.41698401421309E-5
"coa","osg","IND",0.000329904083628207
"coa","osg","CAN",0.0102652814239264
"coa","osg","USA",0.497919857501984
"coa","osg","MEX",0.000393049092963338
"coa","osg","BRA",0.00147687399294227
"coa","osg","RUS",1.87224233150482
"coa","osg","LAM",0.00210136819441686
"coa","osg","EUR",0.21570888097267
"coa","osg","ROE",1.32648087997222
"coa","osg","ASI",2.70911205006996E-5
"coa","osg","REA",1.30984376617562
"coa","osg","ANZ",0.0346128509554546
"coa","osg","MES",0.0018662100774236
"coa","osg","AFR",0.337581610663619
"coa","osg","IDZ",0.0146959833800793
"coa","dwe","CHN",0.00349958473816514
"coa","dwe","CAN",5.88832062931033E-6
"coa","dwe","USA",7.90220583439805E-5
"coa","dwe","RUS",0.000830840086564422
"coa","dwe","EUR",0.00478213666224292
"coa","dwe","ROE",0.000232176113058813
"coa","dwe","REA",1.8197643385065E-5
"coa","dwe","AFR",5.35803865204798E-5
"coa","pdr","CHN",0.55333000421524
"coa","pdr","RUS",0.000200675087398849
"coa","pdr","ROE",0.00133671295816384
"coa","pdr","MES",6.25037955614971E-6
"coa","pdr","AFR",0.000220525165786967
"coa","pdr","IDZ",8.05446416052291E-6
"coa","wht","CHN",0.505824446678162
"coa","wht","IND",1.32126924654585E-5
"coa","wht","CAN",1.09173997770995E-5
"coa","wht","USA",2.46160088863689E-5
"coa","wht","RUS",0.00329633546061814
"coa","wht","LAM",6.78422168221005E-5
"coa","wht","EUR",0.108763408529512
"coa","wht","ROE",0.0737179757234117
"coa","wht","REA",0.000231823422382149
"coa","wht","ANZ",0.000712600168299105
"coa","wht","MES",0.000161617150297388
"coa","wht","AFR",0.0104111139662564
"coa","gro","CHN",0.548040866851807
"coa","gro","CAN",4.57802116216044E-6
"coa","gro","USA",6.12289950367995E-5
"coa","gro","MEX",9.74435988609912E-6
"coa","gro","BRA",1.32304658109206E-5
"coa","gro","RUS",0.00161429296713322
"coa","gro","LAM",8.94117454208754E-5
"coa","gro","EUR",0.13832463274548
"coa","gro","ROE",0.0115066550206393
"coa","gro","REA",3.87315121770371E-5
"coa","gro","ANZ",0.000364979078767647
"coa","gro","MES",0.000105296021501999
"coa","gro","AFR",0.0349719903151708
"coa","gro","IDZ",4.55569488622132E-6
"coa","v_f","CHN",2.19687533378601
"coa","v_f","IND",2.13306320802076E-5
"coa","v_f","USA",2.49678378168028E-5
"coa","v_f","MEX",1.11424587885267E-5
"coa","v_f","RUS",0.012629734352231
"coa","v_f","LAM",0.000424533791374415
"coa","v_f","EUR",0.347391319465714
"coa","v_f","ROE",0.0729305176209891
"coa","v_f","REA",0.00073416354280198
"coa","v_f","ANZ",0.000380075392058643
"coa","v_f","MES",0.000708089617546648
"coa","v_f","AFR",0.0575571626686724
"coa","v_f","IDZ",1.10412902358803E-5
"coa","osd","CHN",0.269398212432861
"coa","osd","CAN",4.69398128188914E-6
"coa","osd","USA",1.6363175745937E-5
"coa","osd","BRA",1.27841776702553E-5
"coa","osd","RUS",0.000975570525042713
"coa","osd","LAM",1.48098597492208E-5
"coa","osd","EUR",0.0300658178530284
"coa","osd","ROE",0.0050049403362209
"coa","osd","REA",6.04139177085017E-6
"coa","osd","ANZ",2.46666540988372E-5
"coa","osd","MES",2.5632683900767E-5
"coa","osd","AFR",0.0697761775868457
"coa","osd","IDZ",6.07071160629857E-6
"coa","c_b","CHN",0.0819894075393677
"coa","c_b","BRA",2.26063966692891E-5
"coa","c_b","RUS",0.00059705920284614
"coa","c_b","LAM",6.77593925502151E-6
"coa","c_b","EUR",0.0179665495825247
"coa","c_b","ROE",0.00117776083425269
"coa","c_b","REA",3.94208836951293E-6
"coa","c_b","ANZ",7.45140550861834E-6
"coa","c_b","MES",3.84516242775135E-5
"coa","c_b","AFR",0.0185566563159227
"coa","pfb","CHN",0.325704336166382
"coa","pfb","USA",1.85539556696313E-5
"coa","pfb","BRA",9.06083005247638E-6
"coa","pfb","RUS",5.93115328229032E-6
"coa","pfb","LAM",2.87242123704345E-5
"coa","pfb","EUR",1.17815779958619E-5
"coa","pfb","ROE",0.00497726460525882
"coa","pfb","REA",4.49079107056605E-6
"coa","pfb","ANZ",0.00019990030068584
"coa","pfb","MES",0.000183327734703198
"coa","pfb","AFR",0.00648858235217631
"coa","ocr","CHN",0.0282722804695368
"coa","ocr","USA",4.65870743937558E-6
"coa","ocr","BRA",1.10708870124654E-5
"coa","ocr","RUS",1.44056075441767E-5
"coa","ocr","LAM",7.03906789567554E-6
"coa","ocr","EUR",0.068138357795533
"coa","ocr","ROE",0.000778958337832591
"coa","ocr","REA",0.000229567842325196
"coa","ocr","ANZ",9.34455051719851E-5
"coa","ocr","MES",2.53167872870108E-5
"coa","ocr","AFR",0.0384631556617023
"coa","ocr","IDZ",6.53811048323405E-6
"coa","ctl","CHN",0.439491361379623
"coa","ctl","IND",0.000258109503192827
"coa","ctl","USA",2.06818695005495E-5
"coa","ctl","BRA",1.07373725768412E-5
"coa","ctl","RUS",0.00888172816485167
"coa","ctl","LAM",3.0087074264884E-5
"coa","ctl","EUR",0.0241083181726935
"coa","ctl","ROE",0.0317960247921292
"coa","ctl","REA",0.00175053598104569
"coa","ctl","ANZ",0.038572704712351
"coa","ctl","MES",8.30592252896167E-5
"coa","ctl","AFR",0.0261584490872337
"coa","oap","CHN",2.12642049789429
"coa","oap","IND",0.000141746015287936
"coa","oap","USA",1.24631351354765E-5
"coa","oap","BRA",5.32010608367273E-6
"coa","oap","RUS",0.0135591560974717
"coa","oap","LAM",4.37601374869701E-5
"coa","oap","EUR",0.159627060523235
"coa","oap","ROE",0.0194288340608182
"coa","oap","REA",0.00859926262273802
"coa","oap","ANZ",0.00970107158127576
"coa","oap","MES",4.68773869215511E-5
"coa","oap","AFR",0.0501815714796976
"coa","oap","IDZ",1.85922981472686E-5
"coa","rmk","CHN",0.104892395436764
"coa","rmk","USA",1.33855828607921E-5
"coa","rmk","BRA",4.94511732540559E-6
"coa","rmk","RUS",0.0180706903338432
"coa","rmk","LAM",4.17106184613658E-5
"coa","rmk","EUR",0.10875946154647
"coa","rmk","ROE",0.0315704096974514
"coa","rmk","REA",0.000168800703249872
"coa","rmk","ANZ",0.00311452129972167
"coa","rmk","MES",8.82821186678484E-5
"coa","rmk","AFR",0.0115402974188328
"coa","wol","CHN",0.209622338414192
"coa","wol","IND",0.000117269621114247
"coa","wol","BRA",4.01969691665727E-6
"coa","wol","RUS",0.00109787133987993
"coa","wol","LAM",9.03898489923449E-6
"coa","wol","EUR",0.00201457742605271
"coa","wol","ROE",0.0140905562470834
"coa","wol","REA",0.000973657031863695
"coa","wol","ANZ",0.00135922788831522
"coa","wol","MES",4.76259492643294E-6
"coa","wol","AFR",0.00794159743236378
"coa","frs","CHN",0.569642663002014
"coa","frs","CAN",2.66167389781913E-5
"coa","frs","USA",4.08168125431985E-5
"coa","frs","MEX",1.12724355858518E-5
"coa","frs","BRA",1.51061540236697E-5
"coa","frs","RUS",0.022735645994544
"coa","frs","LAM",0.000270670774625614
"coa","frs","EUR",0.0978056063304962
"coa","frs","ROE",0.00624106738905539
"coa","frs","REA",0.0108058145269752
"coa","frs","ANZ",0.00199621003412176
"coa","frs","MES",0.000128781874082051
"coa","frs","AFR",0.116528948965424
"coa","frs","IDZ",1.38741988848778E-5
"coa","fsh","CHN",0.454290419816971
"coa","fsh","RUS",0.0046161962673068
"coa","fsh","LAM",3.68834671462537E-5
"coa","fsh","EUR",0.00270250600851796
"coa","fsh","ROE",0.00112428678312426
