"ii","Dim2","rr","Val"
"coa","isr","CHN",0.00516623829025775
"coa","isr","JPN",0.00263869320042431
"coa","isr","CAN",1.43030683830148E-5
"coa","isr","USA",0.000451228290330619
"coa","isr","MEX",3.03376214105811E-6
"coa","isr","BRA",4.82397226733156E-5
"coa","isr","RUS",6.79759687045589E-5
"coa","isr","LAM",0.00012513874025899
"coa","isr","EUR",0.00240539297305986
"coa","isr","ROE",0.00343857877851406
"coa","isr","REA",0.000399248736357549
"coa","isr","MES",7.35687490305281E-6
"coa","isr","AFR",0.000391302689195072
"coa","obs","CHN",0.161165239289403
"coa","obs","JPN",0.0124113541096449
"coa","obs","IND",0.0833611339330673
"coa","obs","CAN",7.13256522431038E-5
"coa","obs","USA",0.000843995716422796
"coa","obs","MEX",1.17716635941179E-5
"coa","obs","BRA",0.000204653755645268
"coa","obs","RUS",0.000345484964782372
"coa","obs","LAM",0.00613189640375822
"coa","obs","EUR",0.172327105279237
"coa","obs","ROE",0.00864298250780848
"coa","obs","ASI",0.00833862461149693
"coa","obs","REA",0.00530205709128495
"coa","obs","ANZ",0.00193770241094171
"coa","obs","MES",6.93673650857818E-5
"coa","obs","AFR",0.00505156112967597
"coa","ros","CHN",0.190039866953157
"coa","ros","JPN",0.0261267274618149
"coa","ros","IND",0.0126424450427294
"coa","ros","CAN",9.18973528314382E-5
"coa","ros","USA",0.00515679223462939
"coa","ros","MEX",7.91131387813948E-5
"coa","ros","BRA",0.000255652354098856
"coa","ros","RUS",0.000359262543497607
"coa","ros","LAM",0.0231191490170204
"coa","ros","EUR",0.0436618702890428
"coa","ros","ROE",0.0491518590115447
"coa","ros","ASI",0.00380287613825203
"coa","ros","REA",0.000966259699453076
"coa","ros","ANZ",1.68658498296281E-5
"coa","ros","MES",0.000518155827194278
"coa","ros","AFR",0.00666141844021695
"coa","osg","CHN",0.66622972022742
"coa","osg","JPN",0.119688086211681
"coa","osg","KOR",0.000326773821143433
"coa","osg","IND",5.17833977937698E-5
"coa","osg","CAN",0.000414277834352106
"coa","osg","USA",0.00837872922420502
"coa","osg","MEX",6.69629807816818E-5
"coa","osg","BRA",0.000964101636782289
"coa","osg","RUS",0.0100524742156267
"coa","osg","LAM",0.001195391872443
"coa","osg","EUR",0.183429587814317
"coa","osg","ROE",0.0627541481230764
"coa","osg","ASI",0.000122562413480409
"coa","osg","REA",0.00779864443984479
"coa","osg","ANZ",0.00264790776054724
"coa","osg","MES",0.00054074377840152
"coa","osg","AFR",0.00672876006547085
"coa","dwe","CHN",0.000160422918270342
"coa","dwe","RUS",3.12613724418043E-6
"coa","dwe","EUR",0.000398980323552678
"coa","dwe","REA",8.44823898660252E-6
"coa","pdr","CHN",0.0366673842072487
"coa","pdr","LAM",4.53631764685269E-6
"coa","wht","CHN",0.0152898921624001
"coa","wht","IND",3.85885414289078E-6
"coa","wht","RUS",1.28554866023478E-5
"coa","wht","LAM",1.46143147503608E-5
"coa","wht","EUR",0.010933597567373
"coa","wht","ROE",1.75548475453979E-5
"coa","wht","AFR",0.000115715662104776
"coa","gro","CHN",0.0205446407198906
"coa","gro","IND",2.82741734736192E-6
"coa","gro","RUS",7.07245499143028E-6
"coa","gro","LAM",1.62960459419992E-5
"coa","gro","EUR",0.0111923204676714
"coa","gro","ROE",1.05148669717892E-5
"coa","gro","MES",2.91464903057204E-6
"coa","gro","AFR",0.000423413119278848
"coa","v_f","CHN",0.10101542621851
"coa","v_f","IND",5.44557815373992E-6
"coa","v_f","RUS",6.58564022160135E-5
"coa","v_f","LAM",8.97722620720742E-5
"coa","v_f","EUR",0.0203459376662067
"coa","v_f","ROE",4.31189123446529E-5
"coa","v_f","REA",1.6804722690722E-5
"coa","v_f","ANZ",2.87477678284631E-6
"coa","v_f","MES",2.43024405790493E-5
"coa","v_f","AFR",0.000336720782797784
"coa","osd","CHN",0.0092885484918952
