"ii","rr","rr_1","Val"
"coa","CHN","CHN",0.412937670946121
"coa","CHN","JPN",3.23743581771851
"coa","CHN","KOR",3.33793950080872
"coa","CHN","TWN",5.30138826370239
"coa","CHN","IND",0.321098148822784
"coa","CHN","CAN",0.00253320741467178
"coa","CHN","USA",0.0330351367592812
"coa","CHN","MEX",0.000349953159457073
"coa","CHN","BRA",0.00140601000748575
"coa","CHN","RUS",0.0312230512499809
"coa","CHN","LAM",0.0202431790894479
"coa","CHN","EUR",0.0885301526361673
"coa","CHN","ROE",0.0145254960680177
"coa","CHN","ASI",0.0363804100779817
"coa","CHN","REA",0.0939797797182109
"coa","CHN","ANZ",0.00175535888411105
"coa","CHN","MES",0.00347066507674754
"coa","CHN","AFR",0.0211170261572988
"coa","IND","CHN",0.022388908360881
"coa","IND","JPN",1.73170283233048E-5
"coa","IND","KOR",3.07785849145148E-5
"coa","IND","TWN",0.00034674906055443
"coa","IND","CAN",5.59829049961991E-6
"coa","IND","USA",9.95884765870869E-5
"coa","IND","RUS",3.49356669175904E-5
"coa","IND","LAM",7.82911683927523E-6
"coa","IND","EUR",0.000146076852161059
"coa","IND","ROE",3.04826598949148E-5
"coa","IND","ASI",1.95136394722795E-5
"coa","IND","REA",0.642789267003536
"coa","IND","ANZ",6.39422432868741E-6
"coa","IND","MES",0.000285389483906329
"coa","IND","AFR",0.000100328791177162
"coa","CAN","CHN",1.68209799460601
"coa","CAN","JPN",4.11970949172974
"coa","CAN","KOR",3.69658708572388
"coa","CAN","TWN",0.518414497375488
"coa","CAN","IND",0.121675856411457
"coa","CAN","USA",0.606629073619843
"coa","CAN","MEX",0.137082874774933
"coa","CAN","BRA",0.923729658126831
"coa","CAN","RUS",0.00391639675945044
"coa","CAN","LAM",0.124608507988341
"coa","CAN","EUR",2.19456387210994
"coa","CAN","ROE",1.74452893947227
"coa","CAN","ASI",0.00325857737334445
"coa","CAN","REA",0.096824075520999
"coa","CAN","ANZ",0.000292507009362453
"coa","CAN","MES",0.000602059764787555
"coa","CAN","AFR",0.0383412402120484
"coa","USA","CHN",2.19466717843898
"coa","USA","JPN",3.87724542617798
"coa","USA","KOR",3.51588416099548
"coa","USA","TWN",0.0184192471206188
"coa","USA","IND",1.46287059783936
"coa","USA","CAN",2.09466338157654
"coa","USA","MEX",0.823911190032959
"coa","USA","BRA",4.34957551956177
"coa","USA","RUS",4.40797281265259
"coa","USA","LAM",0.947219481546199
"coa","USA","EUR",24.8566302318509
"coa","USA","ROE",7.89849379091447
"coa","USA","ASI",0.0148336859419942
"coa","USA","REA",0.0222248051773022
"coa","USA","ANZ",0.00181599915958941
"coa","USA","MES",0.00318276282632723
"coa","USA","AFR",2.59673029991995
"coa","RUS","CHN",7.7670626938343
"coa","RUS","JPN",10.1575813293457
"coa","RUS","KOR",10.5210847854614
"coa","RUS","TWN",1.3622567653656
"coa","RUS","IND",0.501391172409058
"coa","RUS","CAN",0.139434471726418
"coa","RUS","USA",0.00481133023276925
"coa","RUS","MEX",0.00159621413331479
"coa","RUS","BRA",1.0051589012146
"coa","RUS","LAM",0.00505591580622422
"coa","RUS","EUR",31.4706975131994
"coa","RUS","ROE",4.72043454450886
"coa","RUS","ASI",0.0257849064655602
"coa","RUS","REA",0.0611207869133068
"coa","RUS","ANZ",0.000481585477245972
"coa","RUS","MES",0.53404701652471
"coa","RUS","AFR",1.07167083940453
"coa","LAM","CHN",1.11694147882372
"coa","LAM","JPN",0.451240893019531
"coa","LAM","KOR",0.365331333653558
"coa","LAM","TWN",0.0420204575693788
"coa","LAM","IND",0.0359582483933991
"coa","LAM","CAN",1.23956668529445
"coa","LAM","USA",5.65195242618847
"coa","LAM","MEX",0.528244692035969
"coa","LAM","BRA",2.94576011080244
"coa","LAM","RUS",0.0342504416944394
"coa","LAM","LAM",5.69948793393041
"coa","LAM","EUR",27.1336137470862
"coa","LAM","ROE",0.839311548452542
"coa","LAM","ASI",0.0271931807540113
"coa","LAM","REA",0.038290816008157
"coa","LAM","ANZ",0.00321864497936986
"coa","LAM","MES",5.05966678621598
"coa","LAM","AFR",0.107350022070705
"coa","EUR","CHN",0.00778834653920057
"coa","EUR","JPN",0.00533458188692748
"coa","EUR","KOR",0.0036902922720401
"coa","EUR","TWN",0.00359818025390268
"coa","EUR","IND",0.00273657033812924
"coa","EUR","CAN",0.00416984882758697
"coa","EUR","USA",0.00702094494408811
"coa","EUR","MEX",0.000429221769991273
"coa","EUR","BRA",0.000893721568900219
"coa","EUR","RUS",0.0520093415398151
"coa","EUR","LAM",0.00423005993025072
"coa","EUR","EUR",8.47201889137068
"coa","EUR","ROE",0.146452711227312
"coa","EUR","ASI",0.00538645077813271
"coa","EUR","REA",0.00765150309189266
"coa","EUR","ANZ",0.0012790694895557
"coa","EUR","MES",0.00279504148375054
"coa","EUR","AFR",0.0317149660234008
"coa","ROE","CHN",0.0771718567402786
"coa","ROE","JPN",0.0540075959183923
"coa","ROE","KOR",0.143666228431812
"coa","ROE","TWN",0.0413109987857752
"coa","ROE","IND",0.093762313190382
"coa","ROE","CAN",0.0541548190526555
"coa","ROE","USA",0.0523532909919595
"coa","ROE","MEX",0.00565819589974126
"coa","ROE","BRA",0.0294938649021788
"coa","ROE","RUS",6.97757650616222
"coa","ROE","LAM",0.0124961895417073
"coa","ROE","EUR",4.00459354903296
"coa","ROE","ROE",4.42389557475553
"coa","ROE","ASI",0.0296444090290606
"coa","ROE","REA",0.0344234476431211
"coa","ROE","ANZ",0.00270152223856712
"coa","ROE","MES",0.0124501671962207
"coa","ROE","AFR",0.162788724458323
"coa","ASI","CHN",0.428485039004954
"coa","ASI","JPN",0.000124923637486063
"coa","ASI","KOR",0.000156214227899909
"coa","ASI","TWN",9.59757308010012E-5
"coa","ASI","IND",0.0089563550427556
"coa","ASI","CAN",5.05990692545311E-6
"coa","ASI","USA",6.57492637401447E-6
"coa","ASI","MEX",3.80628603124933E-6
"coa","ASI","BRA",1.36483995447634E-5
"coa","ASI","RUS",7.47118538129143E-5
"coa","ASI","LAM",5.5426025937777E-6
"coa","ASI","EUR",0.000220111156295388
"coa","ASI","ROE",8.06220018603199E-5
"coa","ASI","ASI",0.0265488141867536
"coa","ASI","REA",5.25736486451933E-5
"coa","ASI","ANZ",0.0198646543808536
"coa","ASI","MES",8.53965229907772E-6
"coa","ASI","AFR",8.00871459887276E-5
"coa","REA","CHN",26.9616074675287
"coa","REA","JPN",1.57248537440319
"coa","REA","KOR",1.30685876804637
"coa","REA","TWN",0.0914481320505729
"coa","REA","IND",0.13798652542755
"coa","REA","CAN",0.00621353890164755
"coa","REA","USA",0.0156012534862384
"coa","REA","MEX",0.00219213638047222
"coa","REA","BRA",0.00464530879980884
"coa","REA","RUS",0.0539408556651324
"coa","REA","LAM",0.00614135149771755
"coa","REA","EUR",0.165824927899166
"coa","REA","ROE",0.0276778130805724
"coa","REA","ASI",0.638449829421006
"coa","REA","REA",0.0764333293523123
"coa","REA","ANZ",0.0350701715949526
"coa","REA","MES",0.00370783283869969
"coa","REA","AFR",0.092690922424481
"coa","ANZ","CHN",16.7888731125208
"coa","ANZ","JPN",58.1371761607297
"coa","ANZ","KOR",25.7843811249586
"coa","ANZ","TWN",10.9131104168573
"coa","ANZ","IND",39.6510049540011
"coa","ANZ","CAN",0.00716498828842305
"coa","ANZ","USA",0.0176136127556674
"coa","ANZ","MEX",1.38135458752004
"coa","ANZ","BRA",2.64364546437355
"coa","ANZ","RUS",0.0622266521240817
"coa","ANZ","LAM",0.867553019842262
"coa","ANZ","EUR",13.8731180381094
"coa","ANZ","ROE",2.85729840828299
"coa","ANZ","ASI",4.22516653708726
"coa","ANZ","REA",0.639744998285096
"coa","ANZ","ANZ",0.168150658567811
"coa","ANZ","MES",0.188382773240392
"coa","ANZ","AFR",0.977955850368289
"coa","MES","CHN",0.103848468063006
"coa","MES","JPN",0.00137881306000054
"coa","MES","KOR",0.00121721199684544
"coa","MES","TWN",0.000376780481019523
"coa","MES","IND",0.0682132206275128
"coa","MES","CAN",0.00135851330833248
"coa","MES","USA",0.0034626891665539
"coa","MES","MEX",0.000342933670708589
"coa","MES","BRA",0.000380882936951821
"coa","MES","RUS",0.00490718172659399
"coa","MES","LAM",0.00107461912011786
"coa","MES","EUR",0.0288405201847581
"coa","MES","ROE",0.00249850406635233
"coa","MES","ASI",0.00104413756162103
"coa","MES","REA",0.00326039005631173
"coa","MES","ANZ",0.000527969244103588
"coa","MES","MES",0.000435052063949115
"coa","MES","AFR",0.00472355403417168
"coa","AFR","CHN",7.26541054722156
"coa","AFR","JPN",0.605409764848446
"coa","AFR","KOR",2.62463119075983
"coa","AFR","TWN",0.644274143051007
"coa","AFR","IND",10.4058940245777
"coa","AFR","CAN",0.00251170426645331
"coa","AFR","USA",0.0311224040501656
"coa","AFR","MEX",0.808851511434113
"coa","AFR","BRA",0.275251582737837
"coa","AFR","RUS",0.0257264116662554
"coa","AFR","LAM",0.301313855059107
"coa","AFR","EUR",12.8219938232444
"coa","AFR","ROE",0.456668676531535
"coa","AFR","ASI",2.40513659300541
"coa","AFR","REA",0.903378208168533
"coa","AFR","ANZ",0.000450342191697928
"coa","AFR","MES",3.42252866825584
"coa","AFR","AFR",1.18151124118526
"coa","IDZ","CHN",59.7908778190613
"coa","IDZ","JPN",27.0950489044189
"coa","IDZ","KOR",29.3835201263428
"coa","IDZ","TWN",21.9127025604248
"coa","IDZ","IND",25.4695625305176
"coa","IDZ","CAN",0.00539683224633336
"coa","IDZ","USA",0.246696189045906
"coa","IDZ","MEX",0.0574564449489117
"coa","IDZ","BRA",0.0141596812754869
"coa","IDZ","RUS",0.0778505876660347
"coa","IDZ","LAM",0.323098309279885
"coa","IDZ","EUR",7.13282728030754
"coa","IDZ","ROE",2.29659779694339
"coa","IDZ","ASI",24.4693722724915
"coa","IDZ","REA",1.9009831547537
"coa","IDZ","ANZ",0.000584233050176408
"coa","IDZ","MES",0.0636759226617869
"coa","IDZ","AFR",0.0871017361600934
"oil","CAN","CHN",0.40052792429924
