"ff","Dim2","rr","Val"
"lnd","pdr","CHN",-0.180857679253951
"lnd","pdr","JPN",-0.634371276567388
"lnd","pdr","KOR",-0.241536736984538
"lnd","pdr","TWN",0.0189340101195143
"lnd","pdr","IND",0.000565255018801114
"lnd","pdr","USA",-0.150507414441476
"lnd","pdr","MEX",-0.0564789425333608
"lnd","pdr","BRA",0.0123390908741834
"lnd","pdr","RUS",0.0211084865933358
"lnd","pdr","LAM",0.00877054526019716
"lnd","pdr","EUR",-0.00869935877918012
"lnd","pdr","ROE",-0.0480857865343563
"lnd","pdr","ASI",0.00201356605262338
"lnd","pdr","REA",0.0143631006278843
"lnd","pdr","ANZ",0.00233277661931741
"lnd","pdr","MES",0.0022199441491745
"lnd","pdr","AFR",0.0148730062906694
"lnd","pdr","IDZ",0.00572868418929739
"lnd","wht","CHN",-0.299218980051731
"lnd","wht","JPN",-0.0309098785873485
"lnd","wht","IND",0.000565255492002592
"lnd","wht","CAN",-0.111483211886537
"lnd","wht","USA",-0.336894000954179
"lnd","wht","MEX",-0.0488570925986411
"lnd","wht","BRA",0.0123389680177912
"lnd","wht","RUS",0.0211085131214761
"lnd","wht","LAM",0.016850883193309
"lnd","wht","EUR",-0.00748896680315064
"lnd","wht","ROE",-0.0630597726300964
"lnd","wht","REA",0.00221373108751301
"lnd","wht","ANZ",0.0206643235510826
"lnd","wht","MES",0.0102029666237693
"lnd","wht","AFR",0.00626511410086692
"lnd","gro","CHN",-0.316537886702357
"lnd","gro","TWN",0.018934078889882
"lnd","gro","IND",0.000565286019918343
"lnd","gro","CAN",-0.234057809548194
"lnd","gro","USA",-0.307503357137217
"lnd","gro","MEX",-0.0552034896567007
"lnd","gro","BRA",0.0123390348520782
"lnd","gro","RUS",0.0211084569463329
"lnd","gro","LAM",0.0157793488715629
"lnd","gro","EUR",-0.0254767031468403
"lnd","gro","ROE",-0.032544152553429
"lnd","gro","ASI",0.000851944212676797
"lnd","gro","REA",0.0138909279666118
"lnd","gro","ANZ",0.00950151719568009
"lnd","gro","MES",0.00652184839231346
"lnd","gro","AFR",0.0155958351724375
"lnd","gro","IDZ",0.00572872867815688
"lnd","v_f","CHN",-0.122264862037282
"lnd","v_f","JPN",-0.0481451529137481
"lnd","v_f","KOR",-0.0318854814443671
"lnd","v_f","TWN",0.0189340850731812
"lnd","v_f","IND",0.000565337126057663
"lnd","v_f","CAN",-0.10328420153319
"lnd","v_f","USA",-0.069788228214409
"lnd","v_f","MEX",-0.0582676626455434
"lnd","v_f","BRA",0.0123389863968604
"lnd","v_f","RUS",0.0198284245128357
"lnd","v_f","LAM",0.00889044432654681
"lnd","v_f","EUR",-0.00379704145637202
"lnd","v_f","ROE",-0.0353599051205573
"lnd","v_f","ASI",0.00197587177271103
"lnd","v_f","REA",0.0130623391689002
"lnd","v_f","ANZ",0.0124638868824896
"lnd","v_f","MES",0.0103249769405065
"lnd","v_f","AFR",0.0141889035061774
"lnd","v_f","IDZ",0.0057287163777322
"lnd","osd","CHN",-0.407051235922714
"lnd","osd","JPN",-0.0222382371568973
"lnd","osd","KOR",-0.0257631756923101
"lnd","osd","IND",0.00056533380113577
"lnd","osd","CAN",-0.152864837620211
"lnd","osd","USA",-0.239423946788345
"lnd","osd","MEX",-0.0654984942508726
"lnd","osd","BRA",0.0123390291346925
"lnd","osd","RUS",0.0211084971845652
"lnd","osd","LAM",0.0219836760369039
"lnd","osd","EUR",-0.0110254452935831
"lnd","osd","ROE",-0.0530272787656838
"lnd","osd","ASI",0.00474473864524923
"lnd","osd","REA",0.00446147398523427
"lnd","osd","ANZ",0.0138053689879616
"lnd","osd","MES",0.00521720347154866
"lnd","osd","AFR",0.0161351333085911
"lnd","osd","IDZ",0.00572865031877101
"lnd","c_b","CHN",-0.100289906580489
"lnd","c_b","JPN",-0.0294102579234553
"lnd","c_b","TWN",0.0189340625431798
"lnd","c_b","IND",0.000565314268294426
"lnd","c_b","CAN",0.0136226115693623
"lnd","c_b","USA",-0.128791628604738
"lnd","c_b","MEX",-0.0588675718862863
"lnd","c_b","BRA",0.0123389897644557
"lnd","c_b","RUS",0.0211085226850478
"lnd","c_b","LAM",0.00697555402254651
"lnd","c_b","EUR",-0.0105584873763366
"lnd","c_b","ROE",-0.0234494650013361
"lnd","c_b","ASI",0.00242155394359498
"lnd","c_b","REA",0.00613281061693457
"lnd","c_b","ANZ",0.0136483450475619
"lnd","c_b","MES",0.00270284380944962
"lnd","c_b","AFR",0.0098352679205708
"lnd","c_b","IDZ",0.00572868058005538
"lnd","pfb","CHN",-0.0991953866494077
"lnd","pfb","TWN",0.0189340403992793
"lnd","pfb","IND",0.000565268523967433
"lnd","pfb","CAN",0.0140763136466837
"lnd","pfb","USA",-0.369388852245724
"lnd","pfb","MEX",-0.060806711999043
"lnd","pfb","BRA",0.0123390040663605
"lnd","pfb","RUS",0.0211084578698115
"lnd","pfb","LAM",0.0131365859141363
"lnd","pfb","EUR",-0.101834576130279
"lnd","pfb","ROE",-0.00395132702332403
"lnd","pfb","ASI",0.00270863156166563
"lnd","pfb","REA",0.00756296631912945
"lnd","pfb","ANZ",-0.0470585212122197
"lnd","pfb","MES",0.00951930612301725
"lnd","pfb","AFR",0.00890814596289061
"lnd","pfb","IDZ",0.00572882929438712
"lnd","ocr","CHN",-0.232335112117612
"lnd","ocr","JPN",-0.04830164989804
"lnd","ocr","KOR",-0.0344201017173954
"lnd","ocr","TWN",0.0189339943523021
"lnd","ocr","IND",0.000565251365388209
"lnd","ocr","CAN",0.0135933485131812
"lnd","ocr","USA",-0.125287884737962
"lnd","ocr","MEX",-0.0585366614595948
"lnd","ocr","BRA",0.0123389570848649
"lnd","ocr","RUS",0.0199031785421577
"lnd","ocr","LAM",0.00804939577782545
"lnd","ocr","EUR",-0.0153634594838097
"lnd","ocr","ROE",-0.014024678070505
"lnd","ocr","ASI",0.00294810790480412
"lnd","ocr","REA",0.012308530061868
"lnd","ocr","ANZ",0.0175702234879951
"lnd","ocr","MES",0.00886092255199828
"lnd","ocr","AFR",0.0133951354723144
"lnd","ocr","IDZ",0.00572873367859494
"lnd","ctl","CHN",-0.00776836012355551
"lnd","ctl","JPN",-0.0287001135840028
"lnd","ctl","KOR",-0.0218227330304218
"lnd","ctl","TWN",0.0189340593395062
"lnd","ctl","IND",0.000565265657435532
"lnd","ctl","CAN",-0.119638738459619
"lnd","ctl","USA",-0.0259334002389718
"lnd","ctl","MEX",-0.0356978123039109
"lnd","ctl","BRA",0.0123390321059822
"lnd","ctl","RUS",0.0211084326705535
"lnd","ctl","LAM",0.0159218272140679
"lnd","ctl","EUR",-0.0837259599800724
"lnd","ctl","ROE",0.0156095999428707
"lnd","ctl","ASI",0.0015778308323261
"lnd","ctl","REA",0.0165088366481181
"lnd","ctl","ANZ",0.00476333646525939
"lnd","ctl","MES",0.0121888574098575
"lnd","ctl","AFR",0.0144199636268954
"lnd","ctl","IDZ",0.00572871347381221
"lnd","oap","CHN",-0.00730160422254779
"lnd","oap","JPN",-0.0384082934759489
"lnd","oap","KOR",-0.0392182758755545
"lnd","oap","TWN",0.0189341051917911
"lnd","oap","IND",0.000565269806407587
"lnd","oap","CAN",-0.10035439884612
"lnd","oap","USA",-0.024875266572657
"lnd","oap","MEX",-0.0359635691270686
"lnd","oap","BRA",0.0123390740918206
"lnd","oap","RUS",0.0211084703185913
"lnd","oap","LAM",0.0067700190257601
"lnd","oap","EUR",-0.00913207688126818
"lnd","oap","ROE",0.0148630492282652
"lnd","oap","ASI",0.00197984368312445
"lnd","oap","REA",0.013338907189756
"lnd","oap","ANZ",0.00780289880516106
"lnd","oap","MES",0.0112429942628056
"lnd","oap","AFR",0.012395720590548
"lnd","oap","IDZ",0.00572867278212663
"lnd","rmk","CHN",-0.00755194915257418
"lnd","rmk","JPN",-0.0419554883946537
"lnd","rmk","KOR",-0.0236839658630241
"lnd","rmk","TWN",0.0189340063567969
"lnd","rmk","IND",0.000565275718356073
"lnd","rmk","CAN",0.0137933519814797
"lnd","rmk","USA",-0.0265225761306513
"lnd","rmk","MEX",-0.0364879498202824
"lnd","rmk","BRA",0.0123389985083835
"lnd","rmk","RUS",0.0211085170822121
"lnd","rmk","LAM",0.0109088083554739
"lnd","rmk","EUR",-0.0316528560993356
"lnd","rmk","ROE",0.0128783717724019
"lnd","rmk","ASI",0.00316668551049788
"lnd","rmk","REA",0.00571000278659216
"lnd","rmk","ANZ",0.00545409193493976
"lnd","rmk","MES",0.00891382603779616
"lnd","rmk","AFR",0.012721494614492
"lnd","rmk","IDZ",0.00572873534116014
"lnd","wol","CHN",-0.00761984493900814
"lnd","wol","JPN",-0.0428217399614381
"lnd","wol","KOR",-0.0231111503251084
"lnd","wol","IND",0.00056524340544617
"lnd","wol","CAN",0.0192571605770469
"lnd","wol","BRA",0.012339008547809
"lnd","wol","RUS",0.0211084647609783
"lnd","wol","LAM",0.0155109101822038
"lnd","wol","EUR",-0.0267306583689671
"lnd","wol","ROE",0.0186069603312914
"lnd","wol","ASI",0.00280642092071893
"lnd","wol","REA",0.0183577869838594
"lnd","wol","ANZ",-0.0100680017027574
"lnd","wol","MES",0.0123472413080153
"lnd","wol","AFR",0.00880081554106087
"lnd","wol","IDZ",0.0057287245074038
"lab","isr","CHN",0.0097267959175879
"lab","isr","JPN",0.192801924161883
"lab","isr","KOR",0.0482197817221669
"lab","isr","TWN",0.161727158448167
"lab","isr","IND",0.000565277797107915
"lab","isr","CAN",0.157310566454156
"lab","isr","USA",0.151233932362024
"lab","isr","MEX",0.0535049916942393
"lab","isr","BRA",0.258365281570523
"lab","isr","RUS",0.273285515980854
"lab","isr","LAM",0.0856001642584891
"lab","isr","EUR",0.364747029382704
"lab","isr","ROE",0.117050045777211
"lab","isr","ASI",0.0127251142887243
"lab","isr","REA",0.0435738925156757
"lab","isr","ANZ",0.0409506614248805
"lab","isr","MES",0.179291590000667
"lab","isr","AFR",0.0615982269922314
"lab","isr","IDZ",0.0159199222763482
"lab","obs","CHN",0.0140349992524748
"lab","obs","JPN",0.192801922194811
"lab","obs","KOR",0.048219780110102
"lab","obs","TWN",0.16172710426347
"lab","obs","IND",0.000565308839033419
"lab","obs","CAN",0.157310535353684
"lab","obs","USA",0.151233943870162
"lab","obs","MEX",0.0535049781620213
"lab","obs","BRA",0.258365212210363
"lab","obs","RUS",0.273285521470766
"lab","obs","LAM",0.0596312014041578
"lab","obs","EUR",0.393190708374102
"lab","obs","ROE",0.109461138460774
"lab","obs","ASI",0.0105933690574466
"lab","obs","REA",0.037454299843867
"lab","obs","ANZ",0.0396083766506512
"lab","obs","MES",0.194361075071901
"lab","obs","AFR",0.0466699424368297
"lab","obs","IDZ",0.0159199195486499
"lab","ros","CHN",0.00271664502392325
"lab","ros","JPN",0.192801947537529
"lab","ros","KOR",0.0482197670656017
"lab","ros","TWN",0.161727106237814
"lab","ros","IND",0.000565277233318538
"lab","ros","CAN",0.157310574014043
"lab","ros","USA",0.151233964882094
"lab","ros","MEX",0.0535050125329017
"lab","ros","BRA",0.258365146204385
"lab","ros","RUS",0.273285598580695
"lab","ros","LAM",0.0722540561921038
"lab","ros","EUR",0.376708996999374
"lab","ros","ROE",0.0623650095871036
"lab","ros","ASI",0.0103689028239571
"lab","ros","REA",0.031589302790115
"lab","ros","ANZ",0.0391716259802014
"lab","ros","MES",0.240614784339264
"lab","ros","AFR",0.0627738746943152
"lab","ros","IDZ",0.0159199053252634
"lab","osg","CHN",0.00241820220126587
"lab","osg","JPN",0.19280190698246
"lab","osg","KOR",0.0482198300647711
"lab","osg","TWN",0.16172715534226
"lab","osg","IND",0.000565276443907838
"lab","osg","CAN",0.157310566272511
"lab","osg","USA",0.151233878962866
"lab","osg","MEX",0.0535049915950031
"lab","osg","BRA",0.258365228128259
"lab","osg","RUS",0.27328548017779
"lab","osg","LAM",0.0872604003221016
"lab","osg","EUR",0.378365014186248
"lab","osg","ROE",0.104052953987551
"lab","osg","ASI",0.0112693507016964
"lab","osg","REA",0.0510583098341828
"lab","osg","ANZ",0.0407523389428445
"lab","osg","MES",0.22305935754674
"lab","osg","AFR",0.0491361768333316
"lab","osg","IDZ",0.0159199466251506
"lab","dwe","CHN",9.21958233024786E-5
"lab","dwe","JPN",0.192801890751561
"lab","dwe","KOR",0.0482197312186691
"lab","dwe","TWN",0.161726210659812
"lab","dwe","IND",0.000565273896032976
"lab","dwe","CAN",0.157310573118122
"lab","dwe","USA",0.151233900818748
"lab","dwe","MEX",0.0535049820009027
"lab","dwe","BRA",0.25836523507873
"lab","dwe","RUS",0.273285539919874
"lab","dwe","LAM",0.108086133201303
"lab","dwe","EUR",0.343041743179343
"lab","dwe","ROE",0.0413267758791232
"lab","dwe","ASI",0.0147327398390133
"lab","dwe","REA",0.0360986880230143
"lab","dwe","ANZ",0.0447135897014371
"lab","dwe","MES",0.17171926749675
"lab","dwe","AFR",0.0165333511069673
"lab","dwe","IDZ",0.0159199217236133
"lab","pdr","CHN",-0.0136697357195795
"lab","pdr","JPN",-0.039081893605668
"lab","pdr","KOR",-0.0229322407260999
"lab","pdr","TWN",0.161727108830555
"lab","pdr","IND",0.000565303348454517
"lab","pdr","USA",0.0304341506169951
"lab","pdr","MEX",0.00312956422226835
"lab","pdr","BRA",0.251478110005296
"lab","pdr","RUS",0.27137437861769
"lab","pdr","LAM",0.0782508479620389
"lab","pdr","EUR",0.329691678949839
"lab","pdr","ROE",0.205800120981215
"lab","pdr","ASI",0.00942133715403263
"lab","pdr","REA",0.0163867365541185
"lab","pdr","ANZ",-0.0320313612083592
"lab","pdr","MES",0.11664356223805
"lab","pdr","AFR",0.122536477328092
"lab","pdr","IDZ",0.0147913563395458
"lab","wht","CHN",-0.013549260841372
"lab","wht","JPN",0.00364434365968164
"lab","wht","IND",0.000565268043837937
"lab","wht","CAN",0.0283015955917241
"lab","wht","USA",0.0256970909862993
"lab","wht","MEX",0.0094312186202846
"lab","wht","BRA",0.250945886048773
"lab","wht","RUS",0.271560872981157
"lab","wht","LAM",0.0846414664928089
"lab","wht","EUR",0.415393824175805
"lab","wht","ROE",0.122074722597418
"lab","wht","REA",0.00795960694988055
"lab","wht","ANZ",0.0158357333488322
"lab","wht","MES",0.203995546579427
"lab","wht","AFR",0.0264692027455903
"lab","gro","CHN",-0.0147127895517593
"lab","gro","TWN",0.161727194915082
"lab","gro","IND",0.00056525838068974
"lab","gro","CAN",0.0350555907548009
"lab","gro","USA",0.027726627194525
"lab","gro","MEX",0.00415738592197729
"lab","gro","BRA",0.250774819063871
"lab","gro","RUS",0.271269257680328
"lab","gro","LAM",0.0730374634970235
"lab","gro","EUR",0.364378458682669
"lab","gro","ROE",0.163207816775311
"lab","gro","ASI",0.0033664582876638
"lab","gro","REA",0.0217321458645347
"lab","gro","ANZ",-0.0101570284459014
"lab","gro","MES",0.156436871832598
"lab","gro","AFR",0.107673494319173
"lab","gro","IDZ",0.0148826741425974
"lab","v_f","CHN",-0.0160016831923458
"lab","v_f","JPN",0.0645510506401778
"lab","v_f","KOR",-0.0162889984253371
"lab","v_f","TWN",0.16172711013677
"lab","v_f","IND",0.000565279387827438
"lab","v_f","CAN",0.0349281486977782
"lab","v_f","USA",0.0283424592441211
"lab","v_f","MEX",0.00165339340423734
"lab","v_f","BRA",0.258365193192599
"lab","v_f","RUS",0.271203504533134
"lab","v_f","LAM",0.0593053775054643
"lab","v_f","EUR",0.345233482857446
"lab","v_f","ROE",0.0857663453704266
"lab","v_f","ASI",0.0098752469216327
"lab","v_f","REA",0.0171488599094887
"lab","v_f","ANZ",0.00473379248105553
"lab","v_f","MES",0.212238612526204
"lab","v_f","AFR",0.105442481831399
"lab","v_f","IDZ",0.0148618528451202
"lab","osd","CHN",-0.0137108978415082
"lab","osd","JPN",0.0253703521072099
"lab","osd","KOR",-0.00554185510170127
"lab","osd","IND",0.000565264822995852
"lab","osd","CAN",0.032849741702306
"lab","osd","USA",0.0319804346334687
"lab","osd","MEX",-0.00451492401382454
