"ii","Dim2","rr","Val"
"isr","osg","LAM",5.48308922904192E-9
"isr","pdr","CHN",-0.0151167646143776
"isr","pdr","JPN",-0.0168715018452016
"isr","pdr","KOR",-0.0308930190569178
"isr","pdr","USA",-0.053087145303804
"isr","pdr","MEX",-0.09963716855932
"isr","pdr","BRA",-0.0273936960282969
"isr","pdr","RUS",-0.054866461912939
"isr","pdr","LAM",-0.000549853382285747
"isr","pdr","EUR",-0.00195334125700449
"isr","pdr","ROE",-0.000582135020759341
"isr","pdr","ANZ",-0.00235358482705572
"isr","pdr","MES",-0.00332551704028476
"isr","pdr","AFR",-0.00036638178596038
"isr","pdr","IDZ",-0.110818906235754
"isr","wht","CHN",-0.0159779240059415
"isr","wht","JPN",-0.0133578820185406
"isr","wht","CAN",-0.0143214909758688
"isr","wht","USA",-0.049846517820778
"isr","wht","MEX",-0.710074761987914
"isr","wht","BRA",-0.047921605391935
"isr","wht","RUS",-0.082205916528463
"isr","wht","LAM",-0.00618525711622291
"isr","wht","EUR",-0.00101170437443369
"isr","wht","ROE",-0.00909575561636758
"isr","wht","ANZ",-0.0171568860877703
"isr","wht","MES",-0.00219950563259535
"isr","wht","AFR",-0.00430563603806058
"isr","gro","CHN",-0.0151298203197177
"isr","gro","CAN",-0.0153272744103183
"isr","gro","USA",-0.0461020871918375
"isr","gro","MEX",-0.444434232057337
"isr","gro","BRA",-0.0422259375767134
"isr","gro","RUS",-0.0598928605249608
"isr","gro","LAM",-0.00228683710010552
"isr","gro","EUR",-0.00314437500576751
"isr","gro","ROE",-0.00308071097440255
"isr","gro","ANZ",-0.00688298800191075
"isr","gro","MES",-0.00677026226236169
"isr","gro","AFR",-0.00327974139530738
"isr","gro","IDZ",-0.161942609685006
"isr","v_f","CHN",-0.00387743088443108
"isr","v_f","JPN",-0.017514640218554
"isr","v_f","KOR",-0.0404759261375129
"isr","v_f","CAN",-0.015223250081558
"isr","v_f","USA",-0.0452914045267417
"isr","v_f","MEX",-0.0889962648265311
"isr","v_f","BRA",-0.00586338744982706
"isr","v_f","RUS",-0.0472909182027604
"isr","v_f","LAM",-0.0048067054837256
"isr","v_f","EUR",-0.000973778963685711
"isr","v_f","ROE",-0.0066275958290375
"isr","v_f","ANZ",-0.0072769373357204
"isr","v_f","MES",-0.0127014809180347
"isr","v_f","AFR",-0.00510273507154927
"isr","v_f","IDZ",-0.10565060233049
"isr","osd","CHN",-0.0138072223381878
"isr","osd","JPN",-0.0118296968515349
"isr","osd","KOR",-0.0674082317031473
"isr","osd","CAN",-0.0148936377465936
"isr","osd","USA",-0.0466264162320837
"isr","osd","MEX",-0.274490339540402
"isr","osd","BRA",-0.0393852919655391
"isr","osd","RUS",-0.0795824327236987
"isr","osd","LAM",-0.000448315742917832
"isr","osd","EUR",-0.000758485365872038
"isr","osd","ROE",-0.00625778329621278
"isr","osd","ANZ",-0.0100446044955011
"isr","osd","MES",-0.00954989149105583
"isr","osd","AFR",-0.00288903891780997
"isr","osd","IDZ",-0.129206011806858
"isr","c_b","CHN",-0.0170877120761481
"isr","c_b","JPN",-0.012781167272141
"isr","c_b","CAN",-0.0156417807386539
"isr","c_b","USA",-0.0444846736840827
"isr","c_b","MEX",-0.0876072475427445
"isr","c_b","BRA",-0.0629652428994116
"isr","c_b","RUS",-0.154144952997023
"isr","c_b","LAM",-0.00171879804214499
"isr","c_b","EUR",-0.00066898672504443
"isr","c_b","ROE",-0.00829351629346261
"isr","c_b","ANZ",-0.0104243175814746
"isr","c_b","MES",-0.00280800701140601
"isr","c_b","AFR",-0.00767268299528494
"isr","c_b","IDZ",-0.142484607735941
"isr","pfb","CHN",-0.0187470882348802
"isr","pfb","CAN",-0.0159357335674489
"isr","pfb","USA",-0.0440627762412753
"isr","pfb","MEX",-0.0892571542105215
"isr","pfb","BRA",-0.0287792463043337
"isr","pfb","LAM",-0.00017418483857871
