"ii","Dim2","rr","Val"
"isr","pdr","CHN",-0.0151169268042746
"isr","pdr","JPN",-0.0168714641846351
"isr","pdr","KOR",-0.0308929374484102
"isr","pdr","USA",-0.0530871378724438
"isr","pdr","BRA",-0.027393883569062
"isr","pdr","RUS",-0.0548664000775131
"isr","pdr","EUR",-0.00161316936445295
"isr","pdr","ROE",-0.0156721059237527
"isr","pdr","ANZ",-0.00235364513869785
"isr","pdr","MES",1.95535317928138E-6
"isr","pdr","IDZ",-0.110818969724692
"isr","wht","CHN",-0.0159303295119119
"isr","wht","JPN",-0.0133578910494657
"isr","wht","CAN",-0.0143213949529658
"isr","wht","USA",-0.0498465196382222
"isr","wht","BRA",-0.0479215601460966
"isr","wht","RUS",-0.082205840774775
"isr","wht","EUR",-0.000973274305281744
"isr","wht","ROE",-0.0152811195676636
"isr","wht","ANZ",-0.0142815068925606
"isr","wht","MES",-8.40195394693272E-6
"isr","wht","AFR",-0.000102425777000467
"isr","gro","CHN",-0.0151299101108373
"isr","gro","CAN",-0.0153272336980342
"isr","gro","USA",-0.0461020703131786
"isr","gro","BRA",-0.0422260090164381
"isr","gro","RUS",-0.0598927737497549
"isr","gro","EUR",-0.00216799876264098
"isr","gro","ROE",-0.00658992962512643
"isr","gro","ANZ",-0.00459659203865559
"isr","gro","MES",-0.000154768815311128
"isr","gro","AFR",-0.000238291958529347
"isr","gro","IDZ",-0.161942432761005
"isr","v_f","CHN",-0.00350431340283748
"isr","v_f","JPN",-0.0175146837690658
"isr","v_f","KOR",-0.0404758451712345
"isr","v_f","CAN",-0.0152234658184714
"isr","v_f","USA",-0.0452914547887593
"isr","v_f","BRA",-0.00586337648645674
"isr","v_f","RUS",-0.0472909132219725
"isr","v_f","EUR",-0.000729810513679656
"isr","v_f","ROE",-0.00686043785298878
"isr","v_f","ANZ",-0.00329984638387597
"isr","v_f","MES",-0.000731762414049287
"isr","v_f","AFR",-0.000281415575498105
"isr","v_f","IDZ",-0.105650607703502
"isr","osd","CHN",-0.0138071141209735
"isr","osd","JPN",-0.0118298621141741
"isr","osd","CAN",-0.014893620793864
"isr","osd","USA",-0.0466263385989545
"isr","osd","BRA",-0.0393853738742937
"isr","osd","RUS",-0.0795825239636729
"isr","osd","EUR",-0.000711464794897386
"isr","osd","ROE",-0.0107890111749878
"isr","osd","ANZ",-0.00893221860466119
"isr","osd","MES",-8.85553988198903E-5
"isr","osd","AFR",-0.000132185839437172
"isr","osd","IDZ",-0.129206013044342
"isr","c_b","CHN",-0.0170877698053985
"isr","c_b","JPN",-0.0127811750421819
"isr","c_b","CAN",-0.0156417378025084
"isr","c_b","USA",-0.044484761155734
"isr","c_b","BRA",-0.062965215455912
"isr","c_b","RUS",-0.154144939315285
"isr","c_b","EUR",-0.000755139153059996
"isr","c_b","ROE",-0.017429562604382
"isr","c_b","ANZ",-0.0104240937659233
"isr","c_b","AFR",-0.000339503559688515
"isr","c_b","IDZ",-0.142484638826557
"isr","pfb","CHN",-0.0187470526193566
"isr","pfb","CAN",-0.0159359726189603
"isr","pfb","USA",-0.0440628023967726
"isr","pfb","BRA",-0.0287792365618655
"isr","pfb","RUS",-0.0425701709317234
"isr","pfb","EUR",-0.00110396693299211
"isr","pfb","ROE",-0.00267674430380854
"isr","pfb","ANZ",-0.00361842084902195
"isr","pfb","MES",-0.000200339594880623
"isr","pfb","AFR",-1.54018512377049E-5
"isr","ocr","CHN",-0.0168358169783165
"isr","ocr","JPN",-0.0187744812551616
"isr","ocr","KOR",-0.0452975554364093
"isr","ocr","CAN",-0.0384394944850972
"isr","ocr","USA",-0.0495049553937054
"isr","ocr","BRA",-0.0121493702182882
"isr","ocr","EUR",-0.000507064807177772
"isr","ocr","ROE",-0.00355459450856622
"isr","ocr","ANZ",-0.00606900586536438
"isr","ocr","MES",-0.000203866030260258
"isr","ocr","AFR",-6.04557580882838E-5
"isr","ocr","IDZ",-0.136993736949317
"isr","ctl","CHN",-0.0105750988124904
"isr","ctl","JPN",-0.0157577850464405
"isr","ctl","KOR",-0.0104249644582692
"isr","ctl","CAN",-0.0174973736067684
"isr","ctl","USA",-0.0358060630889693
"isr","ctl","BRA",-0.0306901413540727
"isr","ctl","RUS",-0.0346417079418168
"isr","ctl","EUR",-0.000934809241161555
"isr","ctl","ROE",-0.00113883487640994
"isr","ctl","ANZ",-0.00180410083894098
"isr","ctl","MES",-0.000516638697581242
"isr","ctl","AFR",-0.00248657810386382
"isr","oap","CHN",-0.0120694094409752
"isr","oap","JPN",-0.0187683192425914
"isr","oap","KOR",-0.00834314106618117
"isr","oap","CAN",-0.016757904512984
"isr","oap","USA",-0.0322813783547929
"isr","oap","BRA",-0.0158561859137296
"isr","oap","RUS",-0.0186111880089176
"isr","oap","EUR",-0.000448146934226223
"isr","oap","ROE",-0.000825592281545596
"isr","oap","ANZ",-0.00393649694519958
"isr","oap","MES",-0.000673465903516511
"isr","oap","AFR",-0.00167606090947297
"isr","rmk","CHN",-0.0152394239873707
"isr","rmk","JPN",-0.0184053056358212
