"ii","rr","ss","Val"
"pdr","CHN","JPN",4.10229479777702
"pdr","CHN","KOR",0.0499999720695068
"pdr","CHN","USA",0.0133897305752606
"pdr","CHN","LAM",0.0685228344180188
"pdr","CHN","EUR",0.0143940721539504
"pdr","CHN","ASI",0.237771354639079
"pdr","CHN","REA",0.0870035125832234
"pdr","CHN","AFR",0.00546434674274547
"pdr","CHN","IDZ",0.0158473788611135
"pdr","JPN","USA",0.0132348661460178
"pdr","JPN","LAM",0.337499942013657
"pdr","JPN","EUR",0.0468757397518643
"pdr","JPN","REA",0.0419060154172909
"pdr","JPN","ANZ",0.127635109982715
"pdr","JPN","AFR",7.37084732257536E-5
"pdr","IND","JPN",4.95442401053865
"pdr","IND","USA",0.0132459710070554
"pdr","IND","LAM",0.119447053841128
"pdr","IND","EUR",0.031113230836275
"pdr","IND","ROE",0.0011204243865112
"pdr","IND","ASI",0.26233374997985
"pdr","IND","REA",0.130252002469004
"pdr","IND","MES",0.000391385580159291
"pdr","IND","AFR",0.0398648194193878
"pdr","IND","IDZ",0.0158473657847413
"pdr","USA","JPN",4.10229492739048
"pdr","USA","KOR",0.0499999815610626
"pdr","USA","IND",0.799999914806357
"pdr","USA","BRA",0.0717675583907931
"pdr","USA","RUS",1.33508908187914
"pdr","USA","LAM",0.208063816146844
"pdr","USA","EUR",0.205283978066119
"pdr","USA","ROE",0.315040626154792
"pdr","USA","ASI",0.48952956088453
"pdr","USA","REA",0.096834863095462
"pdr","USA","ANZ",0.0408985137185976
"pdr","USA","MES",0.0270557697345714
"pdr","USA","AFR",0.0788816606878168
"pdr","BRA","USA",0.0132348701901706
"pdr","BRA","LAM",0.0944333350961187
"pdr","BRA","EUR",0.0384677786404324
"pdr","BRA","ROE",0.314180524265792
"pdr","BRA","REA",0.0249999999999999
"pdr","BRA","AFR",0.0017280565149749
"pdr","RUS","USA",0.013234816202867
"pdr","RUS","EUR",0.143673682845303
"pdr","RUS","ROE",0.311584664474261
"pdr","RUS","REA",0.0249999689966189
"pdr","LAM","JPN",1.69740814400728
"pdr","LAM","KOR",0.0490699278978318
"pdr","LAM","TWN",0.0150903628780751
"pdr","LAM","IND",0.222354649189389
"pdr","LAM","USA",0.00892971745168172
"pdr","LAM","BRA",7.61377126169469E-7
"pdr","LAM","RUS",0.997635416352761
"pdr","LAM","LAM",0.0402974623633099
"pdr","LAM","EUR",0.0260605214940006
"pdr","LAM","ROE",0.294721893482731
"pdr","LAM","ASI",0.245645196517418
"pdr","LAM","REA",0.0949525730230745
"pdr","LAM","ANZ",0.00198407263721628
"pdr","LAM","MES",0.00281214328179219
"pdr","LAM","AFR",0.00318778530729853
"pdr","EUR","JPN",4.95442392044856
"pdr","EUR","IND",0.799999897498167
"pdr","EUR","USA",0.0133040574468368
"pdr","EUR","BRA",0.100000059979197
"pdr","EUR","RUS",1.54913744394731
"pdr","EUR","LAM",0.115262760260671
"pdr","EUR","EUR",0.000183775954472907
"pdr","EUR","ROE",0.29920627897144
"pdr","EUR","ASI",0.299999982414759
"pdr","EUR","REA",0.0249999676473861
"pdr","EUR","MES",0.0168692506310683
"pdr","EUR","AFR",0.746684492644282
"pdr","ROE","USA",0.0152851946357605
"pdr","ROE","RUS",1.5014410040703
"pdr","ROE","EUR",0.109121874456026
"pdr","ROE","ROE",0.173659031091369
"pdr","ROE","REA",0.0742635396845474
"pdr","ROE","MES",0.0494848863316715
"pdr","ROE","AFR",0.00858970054724877
"pdr","ASI","CHN",0.00464138736810955
"pdr","ASI","KOR",0.0499999807753604
"pdr","ASI","IND",0.799999910058637
"pdr","ASI","USA",0.0132348819459367
"pdr","ASI","BRA",0.100000032542419
"pdr","ASI","RUS",1.00131697909595
"pdr","ASI","LAM",0.240439822107168
"pdr","ASI","EUR",0.043108144354685
"pdr","ASI","ROE",0.026632227531353
"pdr","ASI","ASI",0.21070621858148
"pdr","ASI","REA",0.0842711245093336
"pdr","ASI","ANZ",0.000639618183147074
"pdr","ASI","MES",0.000113787909894282
"pdr","ASI","AFR",0.048027393457047
"pdr","ASI","IDZ",0.0158753634715297
"pdr","REA","CHN",0.00872505441951471
"pdr","REA","JPN",0.897081548598611
"pdr","REA","KOR",0.0477611500240287
"pdr","REA","IND",0.123786608797703
"pdr","REA","USA",0.0111349344817278
"pdr","REA","BRA",0.0120618953292821
"pdr","REA","RUS",0.32979488850833
"pdr","REA","LAM",0.0616801634974517
"pdr","REA","EUR",0.0306483337093068
"pdr","REA","ROE",0.0033200882366728
"pdr","REA","ASI",0.397088811592011
"pdr","REA","REA",0.101190203351993
"pdr","REA","ANZ",0.0010605116623131
"pdr","REA","MES",0.0159773846169802
"pdr","REA","AFR",0.0453196688728415
"pdr","REA","IDZ",0.00534885194763416
"pdr","ANZ","CHN",0.0100000160159135
"pdr","ANZ","JPN",4.95442393106998
"pdr","ANZ","USA",0.0153826428749153
"pdr","ANZ","EUR",0.0485800982310952
"pdr","ANZ","REA",0.0250000028389479
"pdr","ANZ","ANZ",0.0133892065703198
"pdr","MES","EUR",5.07373771769537E-5
"pdr","MES","ROE",0.316248949063487
"pdr","MES","REA",0.00314390084843498
"pdr","MES","AFR",0.00505535368553769
"pdr","AFR","CHN",5.8804840983678E-5
"pdr","AFR","JPN",0.0372838539274392
"pdr","AFR","KOR",9.49716888634276E-5
"pdr","AFR","TWN",0.00151114509084477
"pdr","AFR","IND",0.00612478567788011
"pdr","AFR","USA",9.12972133081238E-5
"pdr","AFR","BRA",0.000849233904184261
"pdr","AFR","RUS",0.0103950915057028
"pdr","AFR","LAM",8.43193926806049E-5
"pdr","AFR","EUR",0.00631821988196154
"pdr","AFR","ROE",0.000477529546832694
"pdr","AFR","ASI",0.000140099033203761
"pdr","AFR","MES",2.06130990646277E-5
"pdr","AFR","AFR",0.0165577524630047
"pdr","AFR","IDZ",0.00019979337732151
"wht","IND","USA",0.0163714717911367
"wht","IND","EUR",0.102577542971629
"wht","IND","ASI",0.181690959137285
"wht","IND","REA",0.0589185674122381
"wht","IND","MES",0.00267112360862493
"wht","IND","AFR",0.0356361131500401
"wht","IND","IDZ",0.030035486728867
"wht","CAN","CHN",0.00999625471577647
"wht","CAN","JPN",0.332289166357091
"wht","CAN","KOR",0.0168000473765522
"wht","CAN","TWN",0.065000082644352
"wht","CAN","BRA",0.0499999942909086
"wht","CAN","LAM",0.0633409459948817
"wht","CAN","EUR",0.0971444859776448
"wht","CAN","ROE",0.616083001777012
"wht","CAN","ASI",0.160160456407034
"wht","CAN","REA",0.104656932871867
"wht","CAN","AFR",0.246730722872478
"wht","CAN","IDZ",0.0499999098248998
"wht","USA","CHN",0.00987510619344744
"wht","USA","JPN",0.186069222869181
"wht","USA","KOR",0.0168000869336622
"wht","USA","TWN",0.065000044010793
"wht","USA","BRA",0.0499999053043307
"wht","USA","LAM",0.0328065434544489
