"Dim1","rr","Val"
"isr","CHN",-5.96997159273442E-7
"isr","JPN",0.0145939242970297
"isr","KOR",0.00235154345768507
"isr","TWN",0.0526509731058382
"isr","IND",0.00743447977996092
"isr","CAN",0.0706653923155758
"isr","USA",0.0664354319822954
"isr","MEX",0.0107954959516635
"isr","BRA",0.0121379237551639
"isr","RUS",1.51303415850679E-5
"isr","LAM",0.0288331350746373
"isr","EUR",0.0223824667387922
"isr","ROE",0.00549125790801121
"isr","ASI",0.000636011127952194
"isr","REA",0.0246648863949767
"isr","ANZ",0.00666184486099222
"isr","MES",0.00149321850696391
"isr","AFR",0.0151890781653884
"obs","CHN",-1.80193882863206E-6
"obs","JPN",0.00472466242901937
"obs","KOR",0.00383002662134457
"obs","TWN",0.0246105428423391
"obs","IND",-0.00474398587799785
"obs","CAN",0.0537918486302019
"obs","USA",0.0129912378693002
"obs","MEX",0.0087420336826356
"obs","BRA",0.00387158610482563
"obs","RUS",9.78366758619398E-6
"obs","LAM",0.00115760494833947
"obs","EUR",0.0160019979134106
"obs","ROE",0.0196770539305469
"obs","ASI",0.0085740708163585
"obs","REA",-0.00498757059915165
"obs","ANZ",0.0180886079253216
"obs","MES",0.0016281741303128
"obs","AFR",0.024140110769485
"ros","JPN",0.0561777732921532
"ros","KOR",0.019831530075578
"ros","TWN",0.0140411886206497
"ros","IND",0.0103925133817729
"ros","CAN",0.0133178226278309
"ros","USA",0.0140242254049449
"ros","MEX",0.00367626727850356
"ros","BRA",0.00824407810931194
"ros","RUS",0.000109707267009984
"ros","LAM",0.0228116484695966
"ros","EUR",0.00787256865219969
"ros","ROE",0.0228226871544697
"ros","ASI",0.0138521804291169
"ros","REA",0.0432136886395267
"ros","ANZ",0.00789850048030449
"ros","MES",0.00386027220300395
"ros","AFR",0.0041885525524695
"ros","IDZ",4.23346608613429E-6
"osg","JPN",0.00485006369436414
"osg","KOR",0.00113793697786813
"osg","TWN",0.00978299856103226
"osg","IND",0.00386246885861652
"osg","CAN",0.0112189826477251
"osg","USA",0.00277684672955614
"osg","MEX",0.00352518802200563
"osg","BRA",0.00201390506111576
"osg","RUS",0.000165002805513681
"osg","LAM",-0.00453943101887581
"osg","EUR",0.000235072293110056
"osg","ROE",0.0112307378556902
"osg","ASI",0.00116817784036193
"osg","REA",0.019981328520249
"osg","ANZ",0.0143749843200275
"osg","MES",0.000850067941489405
"osg","AFR",0.0113712315738162
"dwe","CHN",1.04446805474828E-5
"dwe","JPN",0.0488147127140382
"dwe","KOR",0.0532817376766462
"dwe","TWN",0.0342227643640194
"dwe","IND",0.0010678011421601
"dwe","CAN",0.162315916849623
"dwe","USA",0.168732438423284
"dwe","MEX",0.00874120053775274
"dwe","BRA",0.000851672340823617
"dwe","RUS",2.64037505983694E-5
"dwe","LAM",0.0148075217085544
"dwe","EUR",0.0157146059015536
"dwe","ROE",0.0116183022463649
"dwe","ASI",0.00833555363275138
"dwe","REA",0.00833462580076601
"dwe","ANZ",0.069351340005626
"dwe","MES",0.000435461750456757
"dwe","AFR",0.00642305994034015
"pdr","CHN",-1.31844755977273E-5
"pdr","JPN",-1.51013207880801E-5
"pdr","KOR",-1.96679425432666E-5
"pdr","TWN",0.00103416329229022
"pdr","IND",-0.0523840432763238
"pdr","USA",-0.00343941693775518
"pdr","MEX",-0.019374944725788
"pdr","BRA",-0.00780668097815473
"pdr","RUS",-0.000116949545885703
"pdr","LAM",0.00178317137948798
"pdr","EUR",-0.000100616878334354
"pdr","ROE",0.00197701583717691
"pdr","ASI",-0.0167908115396967
"pdr","REA",0.000869017547774587
"pdr","ANZ",-1.02453774585296E-5
"pdr","MES",0.000120283022682452
"pdr","AFR",-0.000401982181460109
"pdr","IDZ",-8.49172424841615E-5
"wht","CHN",-3.22638419723613E-5
"wht","JPN",-0.275754916804266
"wht","IND",-0.29672582361184
"wht","CAN",-3.04618575852622E-6
"wht","USA",-0.000152380614495851
"wht","MEX",-0.00225686137472803
"wht","BRA",-0.0146767780616301
"wht","RUS",-0.000162469783215435
"wht","LAM",0.00870790476923518
"wht","EUR",0.000500617337029449
"wht","ROE",-0.0104901325092784
"wht","REA",-0.000791774369367122
"wht","ANZ",-3.81172031086749E-6
"wht","MES",0.00153594216174906
"wht","AFR",0.0143675435972922
"gro","CHN",-2.31905423442313E-5
"gro","TWN",0.00345622325614348
"gro","IND",-0.0240274648151495
"gro","CAN",-4.37551175758166E-6
"gro","USA",-0.000349608772264309
"gro","MEX",-0.000622897137095402
"gro","BRA",-0.00567969355755982
"gro","RUS",-4.72972911678138E-5
"gro","LAM",0.00960685930479348
"gro","EUR",-4.22235823398255E-5
"gro","ROE",-0.00332953015370919
"gro","ASI",1.6398976564889E-6
"gro","REA",0.000989132356417742
"gro","ANZ",-2.29203812623838E-6
"gro","MES",0.000729572994234767
"gro","AFR",-0.000690931659473086
"gro","IDZ",-6.99792568541469E-5
"v_f","CHN",-3.78509377355993E-6
"v_f","JPN",-0.000543888677953186
"v_f","KOR",-4.31859499889775E-5
"v_f","TWN",0.00312360043254634
"v_f","IND",-0.00309009875052535
"v_f","CAN",-1.25552494312231E-6
"v_f","USA",-1.99025400364761E-5
"v_f","MEX",-0.00385788888011218
"v_f","BRA",-3.84379190365713E-6
"v_f","RUS",-5.83466077748174E-5
"v_f","LAM",0.00614808552071623
"v_f","EUR",0.000537507115273358
"v_f","ROE",0.00451606143932211
"v_f","ASI",4.12255116997137E-6
"v_f","REA",0.00389486517641351
"v_f","ANZ",-9.41592587314659E-7
"v_f","MES",0.00225516508266098
"v_f","AFR",0.00438209840466838
"v_f","IDZ",-6.60884887926372E-5
"osd","CHN",-1.59007403017775E-5
"osd","JPN",-0.421857589385463
"osd","KOR",-0.000129425120042548
"osd","IND",-0.0151309651120326
"osd","CAN",-1.06498867880056E-6
"osd","USA",-0.000228020915379101
"osd","MEX",-0.00244080007160274
"osd","BRA",-0.00216694776553528
"osd","RUS",-4.64893287450696E-5
"osd","LAM",0.0385061575898933
"osd","EUR",0.000486847997152375
"osd","ROE",-0.00488977918525427
"osd","ASI",6.15643382118215E-5
"osd","REA",0.000250523256331756
"osd","ANZ",-3.98582245902154E-6
"osd","MES",0.000993744699748642
"osd","AFR",-0.00153725368592261
"osd","IDZ",-8.01195163457891E-5
"c_b","CHN",-2.59265658744123E-5
"c_b","JPN",-0.315913785687176
"c_b","TWN",0.00514189705450141
"c_b","IND",-0.106049757567213
"c_b","CAN",-6.2506844414445E-5
"c_b","USA",-0.000960277577036539
"c_b","MEX",-0.000100030442878873
"c_b","BRA",-0.00337194290564713
"c_b","RUS",-0.000144305436113212
"c_b","LAM",0.00495735938246823
"c_b","EUR",0.00049253581028397
"c_b","ROE",0.00277343445967498
"c_b","ASI",1.46543804827377E-5
"c_b","REA",0.00150863251936043
"c_b","ANZ",-5.67283395178446E-6
"c_b","MES",1.7526620127532E-5
"c_b","AFR",0.000177264882161452
"c_b","IDZ",-8.78278783480457E-5
"pfb","CHN",-4.4683111959376E-5
"pfb","TWN",0.00276664964178996
"pfb","IND",-0.125685035245547
"pfb","CAN",-2.68977819057881E-5
"pfb","USA",-0.00224408798645981
"pfb","MEX",-0.000223326765356857
"pfb","BRA",-0.00557036097837948
"pfb","RUS",-0.00082894932893951
"pfb","LAM",-0.004942147935063
"pfb","EUR",0.00334455596415606
"pfb","ROE",-0.0244184856719359
"pfb","ASI",4.02025234372132E-5
"pfb","REA",0.0419052053509937
"pfb","ANZ",-1.73458881912793E-6
"pfb","MES",0.000872949437986995
"pfb","AFR",0.0015246176832486
"pfb","IDZ",-0.00114263520870717
"ocr","CHN",-4.28519738709483E-5
"ocr","JPN",-7.48201355982303E-6
"ocr","KOR",-4.27314024196157E-5
"ocr","TWN",0.00150369362090341
"ocr","IND",-0.0978954207898257
"ocr","CAN",-1.02352484616652E-5
"ocr","USA",-1.30320554851959E-5
"ocr","MEX",-6.56381134902517E-5
"ocr","BRA",-0.00134689634214213
"ocr","RUS",-0.000538827634661176
"ocr","LAM",0.0103560270264674
"ocr","EUR",6.0577064241733E-5
"ocr","ROE",0.00927927604368932
"ocr","ASI",0.000745922696134281
"ocr","REA",0.000998126630746819
"ocr","ANZ",-5.80623173968632E-6
"ocr","MES",0.00198546154352057
"ocr","AFR",-0.00204178307160625
"ocr","IDZ",-5.36067581393684E-5
"ctl","CHN",-1.99961981514888E-5
"ctl","JPN",-0.110292011772161
"ctl","KOR",-3.45190628798786E-5
"ctl","TWN",0.00714881743841311
"ctl","IND",0.0268658964624169
"ctl","CAN",-3.27427752271348E-5
"ctl","USA",-5.07730172865095E-5
"ctl","MEX",-0.000107624177220211
"ctl","BRA",-0.000798956094947956
"ctl","RUS",-0.000666819869443724
"ctl","LAM",0.0347917365680861
"ctl","EUR",-0.00166358255741649
"ctl","ROE",0.00699643820792264
"ctl","ASI",-0.000158588160001632
"ctl","REA",0.00403433294565031
"ctl","ANZ",-4.81585749475772E-7
"ctl","MES",0.00187926602218656
"ctl","AFR",0.00997343365356442
"ctl","IDZ",-5.03227409609508E-6
"oap","CHN",-4.72215197976396E-5
"oap","JPN",-0.00852450775663982
"oap","KOR",-3.50760429039809E-5
"oap","TWN",0.00518405566974689
"oap","IND",0.0268188423786212
"oap","CAN",-3.57765976373159E-5
"oap","USA",-4.80230691595196E-5
"oap","MEX",-6.51692075539501E-5
"oap","BRA",-0.000181262692166451
"oap","RUS",-0.00449476826121575
"oap","LAM",0.00205112640177242
"oap","EUR",0.00106624096586887
"oap","ROE",0.00598375655900629
"oap","ASI",8.17845672035376E-5
"oap","REA",0.00182107626637673
"oap","ANZ",-2.67375973175127E-6
"oap","MES",0.00128036686104242
"oap","AFR",0.0171258370801744
"oap","IDZ",-5.21089137506259E-6
"rmk","CHN",-4.22020633186193E-5
"rmk","JPN",-0.029341355580679
"rmk","KOR",-2.4532238989794E-5
"rmk","TWN",0.00707342154664958
"rmk","IND",0.00885696170150696
"rmk","CAN",-1.41814643994653E-5
"rmk","USA",-6.78120550643424E-5
"rmk","MEX",-8.50489040489233E-5
"rmk","BRA",-0.00572253886527507
"rmk","RUS",-0.00481571905520428
"rmk","LAM",0.0136875674828112
"rmk","EUR",-0.0035323801774479
"rmk","ROE",0.0037241006445636
"rmk","ASI",0.0013092583230878
"rmk","REA",0.00025897312149233
"rmk","ANZ",-1.30417456685188E-6
"rmk","MES",0.00105172390773346
"rmk","AFR",0.00833720387178512
"rmk","IDZ",-3.41882095693524E-5
"wol","CHN",-2.20516821853867E-5
"wol","JPN",-9.98493298516312E-5
"wol","KOR",-4.57114101948264E-5
"wol","IND",0.0269009319011311
"wol","CAN",-0.000235378057176883
"wol","BRA",-8.69231216116262E-6
"wol","RUS",-2.16422690051399E-5
"wol","LAM",0.0314470619706803
"wol","EUR",-0.0224565836507648
"wol","ROE",0.00835465050739022
