"ii","rr","ss","Val"
"wht","MEX","USA",0.0713448946122459
"wht","MEX","LAM",0.0449179553674541
"wht","MEX","EUR",0.0713448703272793
"wht","MEX","ROE",0.0569051253497885
"wht","MEX","AFR",0.0673474293418433
"gro","MEX","CHN",0.0672009597010661
"gro","MEX","IND",0.0756497311463301
"gro","MEX","CAN",0.0817119832116268
"gro","MEX","USA",0.0957492979185457
"gro","MEX","BRA",0.0960607257040142
"gro","MEX","LAM",0.0953844177778426
"gro","MEX","EUR",0.0834430347449864
"gro","MEX","REA",0.0291603845308038
"gro","MEX","AFR",0.0162972509457363
"v_f","KOR","CHN",0.0646221951788514
"v_f","KOR","JPN",0.111272239000526
"v_f","KOR","TWN",0.0627937105614919
"v_f","KOR","CAN",0.0818132125383031
"v_f","KOR","USA",0.0661737657130166
"v_f","KOR","BRA",0.11584468832572
"v_f","KOR","RUS",0.0853254357268832
"v_f","KOR","LAM",0.000930965719568211
"v_f","KOR","EUR",0.0952913867838631
"v_f","KOR","ASI",0.0668756427451957
"v_f","KOR","REA",0.0677630669921079
"v_f","KOR","ANZ",0.0983796779765042
"v_f","KOR","MES",0.0634562487752314
"v_f","KOR","AFR",0.0534995009310397
"v_f","KOR","IDZ",0.0662425936761134
"v_f","EUR","CHN",0.00701086550925851
"v_f","EUR","JPN",0.000855385714706279
"v_f","EUR","KOR",0.0118730496851118
"v_f","EUR","TWN",0.00160654243358795
"v_f","EUR","IND",0.00053438605973366
"v_f","EUR","CAN",0.00813837894119519
"v_f","EUR","USA",0.00697209222512323
"v_f","EUR","MEX",0.00116494830131209
"v_f","EUR","BRA",0.00311271761552585
"v_f","EUR","RUS",0.0124732323578006
"v_f","EUR","LAM",0.0037206250620676
"v_f","EUR","EUR",0.000381882881131543
"v_f","EUR","ROE",0.0192446731269704
"v_f","EUR","ASI",0.0119214892712179
"v_f","EUR","REA",0.00163131711430907
"v_f","EUR","ANZ",0.002466683232585
"v_f","EUR","MES",0.00793743503387776
"v_f","EUR","AFR",0.00595730482171107
"v_f","EUR","IDZ",0.0115648924610814
"v_f","REA","CHN",0.00016215034192082
"v_f","REA","JPN",0.000232190620694963
"v_f","REA","KOR",0.00012506085355765
"v_f","REA","IND",0.00512474499814351
"v_f","REA","CAN",0.00176333935083205
"v_f","REA","USA",0.000352589476962911
"v_f","REA","RUS",0.00900484960842141
"v_f","REA","EUR",0.00548757375298541
"v_f","REA","ROE",0.0107959588402144
"v_f","REA","ASI",0.00442452487959512
"v_f","REA","REA",0.00804659170901491
"v_f","REA","ANZ",0.000172056621959549
"v_f","REA","MES",0.00866265365658458
"v_f","REA","AFR",0.000532049121341106
"v_f","REA","IDZ",0.00112477545049998
"v_f","AFR","CAN",1.46277500939977E-6
"v_f","AFR","RUS",1.00239013132515E-5
"v_f","AFR","EUR",4.82745964772963E-5
"v_f","AFR","ROE",1.29341700973984E-6
"v_f","AFR","MES",5.23535976187355E-9
"v_f","AFR","AFR",4.16479723615575E-9
"ocr","KOR","CHN",0.0373105895125719
"ocr","KOR","JPN",0.126860244400513
"ocr","KOR","TWN",0.0185089684710064
"ocr","KOR","IND",7.00227764438566E-6
"ocr","KOR","CAN",0.00805461986440359
"ocr","KOR","USA",0.00612033864238015
"ocr","KOR","MEX",0.0228000266563111
"ocr","KOR","BRA",0.0108842004334065
"ocr","KOR","RUS",0.0097225689299747
