"ff","Dim2","rr","Val"
"lnd","pdr","CHN",20.1260270624697
"lnd","pdr","JPN",5.73381106216441
"lnd","pdr","KOR",3.33842614087337
"lnd","pdr","TWN",0.283601970877416
"lnd","pdr","IND",9.87750511369547
"lnd","pdr","USA",0.424230970146841
"lnd","pdr","MEX",0.0117478104177806
"lnd","pdr","BRA",0.379903787603129
"lnd","pdr","RUS",0.120251774374461
"lnd","pdr","LAM",1.32489026045744
"lnd","pdr","EUR",0.12786689813195
"lnd","pdr","ROE",0.138062269183422
"lnd","pdr","ASI",5.68866747194555
"lnd","pdr","REA",12.7810360578735
"lnd","pdr","ANZ",0.0275532430552463
"lnd","pdr","MES",0.306698170874327
"lnd","pdr","AFR",2.26961660187512
"lnd","pdr","IDZ",9.01855016288459
"lnd","wht","CHN",7.23553666993609
"lnd","wht","JPN",0.0553162790416662
"lnd","wht","IND",6.17443874708925
"lnd","wht","CAN",0.647929964990263
"lnd","wht","USA",4.3659937397704
"lnd","wht","MEX",0.1514458533301
"lnd","wht","BRA",0.224192515620565
"lnd","wht","RUS",1.79912061764116
"lnd","wht","LAM",1.44971412612259
"lnd","wht","EUR",3.66447147132327
"lnd","wht","ROE",1.79744943837808
"lnd","wht","REA",2.82206528611803
"lnd","wht","ANZ",1.0295560434282
"lnd","wht","MES",0.893921232444523
"lnd","wht","AFR",0.953319492083964
"lnd","gro","CHN",13.1677988711194
"lnd","gro","TWN",0.0541325681117494
"lnd","gro","IND",3.67694747939618
"lnd","gro","CAN",0.330769483696097
"lnd","gro","USA",13.5044294384201
"lnd","gro","MEX",1.27892720777555
"lnd","gro","BRA",1.46665599566412
"lnd","gro","RUS",0.913930856458865
"lnd","gro","LAM",3.12472258781399
"lnd","gro","EUR",4.30128115674397
"lnd","gro","ROE",1.54548757547498
"lnd","gro","ASI",1.16445282967349
"lnd","gro","REA",0.822520778679558
"lnd","gro","ANZ",0.240107256694087
"lnd","gro","MES",0.769429338918818
"lnd","gro","AFR",5.39565415953505
"lnd","gro","IDZ",2.17948710224884
"lnd","v_f","CHN",68.3495995200946
"lnd","v_f","JPN",3.52358527989932
"lnd","v_f","KOR",4.66615438213539
"lnd","v_f","TWN",1.26343336579244
"lnd","v_f","IND",34.56302643045
"lnd","v_f","CAN",0.534644000610611
"lnd","v_f","USA",11.3659764861396
"lnd","v_f","MEX",4.00936476048586
"lnd","v_f","BRA",0.54166640019703
"lnd","v_f","RUS",5.95618914576765
"lnd","v_f","LAM",8.99767067617592
"lnd","v_f","EUR",8.72414748601562
"lnd","v_f","ROE",8.10156367921837
"lnd","v_f","ASI",6.94655181894046
"lnd","v_f","REA",10.4882875327242
"lnd","v_f","ANZ",1.48870137060196
"lnd","v_f","MES",3.705917065422
"lnd","v_f","AFR",15.2964223086439
"lnd","v_f","IDZ",12.8973617094226
"lnd","osd","CHN",11.9421551416138
"lnd","osd","JPN",0.0380492177388142
"lnd","osd","KOR",0.275776626677917
"lnd","osd","IND",8.95224955151787
"lnd","osd","CAN",0.85800086617885
"lnd","osd","USA",7.40150853152529
"lnd","osd","MEX",0.0157156111580073
"lnd","osd","BRA",3.11982785739606
"lnd","osd","RUS",0.581795545901037
"lnd","osd","LAM",4.3903867966797
"lnd","osd","EUR",2.21438890613219
"lnd","osd","ROE",0.76785747311688
"lnd","osd","ASI",6.39650304959601
"lnd","osd","REA",1.59035089187498
"lnd","osd","ANZ",0.286255218248162
"lnd","osd","MES",0.197927611058737
