"ii","Dim2","rr","Val"
"isr","isr","CHN",1.37217305615054
"isr","isr","JPN",0.28701931781598
"isr","isr","KOR",1.18437251631805
"isr","isr","TWN",0.70838371839735
"isr","isr","IND",0.0447469861775881
"isr","isr","CAN",0.0307497861586242
"isr","isr","USA",2.46578017166671
"isr","isr","MEX",0.421596063480557
"isr","isr","BRA",0.188065178492487
"isr","isr","RUS",0.0997705144807525
"isr","isr","LAM",0.779611894010541
"isr","isr","EUR",9.34090622377149
"isr","isr","ROE",0.0742327999692268
"isr","isr","ASI",1.90191593107042
"isr","isr","REA",0.0478479222170467
"isr","isr","ANZ",0.144382491389407
"isr","isr","MES",0.560210594975433
"isr","isr","AFR",0.560402063101926
"isr","isr","IDZ",0.0214383625259323
"isr","obs","CHN",0.406897090067049
"isr","obs","JPN",0.460008968587581
"isr","obs","KOR",0.0314345983357416
"isr","obs","TWN",0.00339658363395074
"isr","obs","IND",0.0213882838294963
"isr","obs","CAN",0.219911803894417
"isr","obs","USA",1.35436442577153
"isr","obs","MEX",0.0819831764443346
"isr","obs","BRA",0.0507664946693478
"isr","obs","RUS",0.053593960430575
"isr","obs","LAM",0.176710086647556
"isr","obs","EUR",1.62213487006381
"isr","obs","ROE",0.0903526515952428
"isr","obs","ASI",0.109312335120844
"isr","obs","REA",0.0118006438064834
"isr","obs","ANZ",0.111791827704257
"isr","obs","MES",0.072377348670787
"isr","obs","AFR",0.153899872434808
"isr","obs","IDZ",0.0351671209836446
"isr","ros","CHN",0.140625085107498
"isr","ros","JPN",0.0746621987306698
"isr","ros","KOR",0.00340926033714194
"isr","ros","TWN",0.000681626217422787
"isr","ros","IND",0.000122601429881299
"isr","ros","CAN",0.032000171680471
"isr","ros","USA",0.782108622699865
"isr","ros","MEX",0.119485101894462
"isr","ros","BRA",0.00821332652042729
"isr","ros","RUS",0.0145297504156559
"isr","ros","LAM",0.0628242387864784
"isr","ros","EUR",0.274667789575775
"isr","ros","ROE",0.0644061321775319
"isr","ros","ASI",0.0072640564739724
"isr","ros","REA",0.0131685693267979
"isr","ros","ANZ",0.0187339071465859
"isr","ros","MES",0.0514880919955774
"isr","ros","AFR",0.0289145617274932
"isr","ros","IDZ",0.00773786748215622
"isr","osg","CHN",0.328850924932898
"isr","osg","JPN",0.232549506824626
"isr","osg","KOR",0.0228104966468521
"isr","osg","TWN",0.0115467018096019
"isr","osg","IND",0.0159116560052786
"isr","osg","CAN",0.11515748058319
"isr","osg","USA",2.00183268180331
"isr","osg","MEX",0.0280099061576281
"isr","osg","BRA",0.14067258593394
"isr","osg","RUS",0.139730671594511
"isr","osg","LAM",0.253873946417663
"isr","osg","EUR",1.54126643455753
"isr","osg","ROE",0.0934652017045714
"isr","osg","ASI",0.0622619925287599
"isr","osg","REA",0.0130517989695997
"isr","osg","ANZ",0.158857113886853
"isr","osg","MES",0.11870553887737
"isr","osg","AFR",0.108002184150058
"isr","osg","IDZ",0.032094256226414
"isr","dwe","CHN",0.150765430053387
"isr","dwe","JPN",0.213461020493472
"isr","dwe","KOR",0.00657583680662309
"isr","dwe","TWN",0.000701918085672098
"isr","dwe","IND",0.000153059318224739
"isr","dwe","CAN",0.274271209303637
"isr","dwe","USA",3.05090821098192
"isr","dwe","MEX",0.0771064576291898
"isr","dwe","BRA",0.0112114346561808
"isr","dwe","RUS",0.00131164047403133
"isr","dwe","LAM",0.0441081904274802
"isr","dwe","EUR",0.686364252729849
"isr","dwe","ROE",0.00977431951551427
"isr","dwe","ASI",0.000664672940247538
"isr","dwe","REA",0.0126018382991929
"isr","dwe","ANZ",0.114707382679441
"isr","dwe","MES",0.00369404248515268
"isr","dwe","AFR",0.0288979936260228
"isr","dwe","IDZ",0.0025420153578066
"isr","pdr","CHN",0.0132343084511137
"isr","pdr","JPN",0.0305204146542588
"isr","pdr","KOR",6.43151684637788E-5
"isr","pdr","IND",0.00116880879597275
"isr","pdr","USA",0.00556852857225856
"isr","pdr","BRA",0.000328852514523021
"isr","pdr","RUS",0.000104268206728904
"isr","pdr","LAM",0.00212735351764373
"isr","pdr","EUR",0.000210743994983795
"isr","pdr","ROE",0.000377682534354312
"isr","pdr","ASI",0.00381597587258434
"isr","pdr","REA",0.00109418418616011
"isr","pdr","ANZ",3.451451100074E-5
"isr","pdr","MES",0.000572833226261343
"isr","pdr","AFR",0.00491619384154182
"isr","pdr","IDZ",0.000144865270717608
"isr","wht","CHN",0.00640201115733787
"isr","wht","JPN",0.00357239678702378
"isr","wht","IND",0.0017926229560464
"isr","wht","CAN",0.0213636400203386
"isr","wht","USA",0.0459494201198756
"isr","wht","MEX",1.28378445636767E-5
"isr","wht","BRA",0.000444794611880917
"isr","wht","RUS",0.00197029325955429
"isr","wht","LAM",0.00294227113762364
"isr","wht","EUR",0.0234164608948376
"isr","wht","ROE",0.00872197913473
"isr","wht","REA",0.00798268468639147
"isr","wht","ANZ",0.00130974397730398
"isr","wht","MES",0.100383178870125
"isr","wht","AFR",0.0216974244875913
"isr","gro","CHN",0.00943317831568092
"isr","gro","IND",0.000123266320639295
"isr","gro","CAN",0.0148196199216809
"isr","gro","USA",0.170387725985806
"isr","gro","MEX",8.11085207928717E-5
"isr","gro","BRA",0.00291492326115675
"isr","gro","RUS",0.00101808716329633
"isr","gro","LAM",0.00568993240122631
"isr","gro","EUR",0.0182629673446059
"isr","gro","ROE",0.00437980946872375
"isr","gro","ASI",0.000785656739458676
"isr","gro","REA",0.000514471687228543
"isr","gro","ANZ",0.000865812271021843
"isr","gro","MES",0.0126193976422647
"isr","gro","AFR",0.0313603119172522
"isr","gro","IDZ",5.34714281844351E-5
"isr","v_f","CHN",0.0411171823092205
"isr","v_f","JPN",0.0338858207008696
"isr","v_f","KOR",0.000116875975720729
"isr","v_f","TWN",3.3670600416103E-6
"isr","v_f","IND",0.000767551015758733
"isr","v_f","CAN",0.011560370595185
"isr","v_f","USA",0.0997736239310591
"isr","v_f","MEX",0.000102307367040779
"isr","v_f","BRA",0.000927839720075816
"isr","v_f","RUS",0.00448905052073816
"isr","v_f","LAM",0.0139725276216183
"isr","v_f","EUR",0.0576684017187108
"isr","v_f","ROE",0.0411893822987364
"isr","v_f","ASI",0.000262601571475179
"isr","v_f","REA",0.00802155290264847
"isr","v_f","ANZ",0.00339396311268299
"isr","v_f","MES",0.102568293685189
"isr","v_f","AFR",0.0704369851465969
