"ii","rr","Val"
"otp","CHN",9.16258332703365
"otp","JPN",0.273941015540949
"otp","KOR",20.9440509205074
"otp","TWN",1.44505751650136
"otp","IND",0.158456012114117
"otp","CAN",5.67240854729913
"otp","USA",7.02077085285341
"otp","MEX",0.403022049765209
"otp","BRA",0.241939426656619
"otp","RUS",5.26551480480346
"otp","LAM",2.54122755282743
"otp","EUR",123.110018857727
"otp","ROE",16.5498093661749
"otp","ASI",17.176736532935
"otp","REA",0.883715987054792
"otp","ANZ",1.15713639403095
"otp","MES",6.32290181717013
"otp","AFR",4.25324587818803
"otp","IDZ",0.0180400404196065
"wtp","CHN",54.1468301057417
"wtp","JPN",64.9222076589345
"wtp","KOR",25.2367178479202
"wtp","TWN",2.92569266457088
"wtp","IND",14.0192148382052
"wtp","CAN",2.9871345056411
"wtp","USA",11.1597499978993
"wtp","MEX",0.511035388923493
"wtp","BRA",2.66049774284377
"wtp","RUS",2.40337416405246
"wtp","LAM",7.05957069193159
"wtp","EUR",208.907723094882
"wtp","ROE",3.70183082595118
"wtp","ASI",24.6890154240497
"wtp","REA",1.26963799762872
"wtp","ANZ",1.66964505557879
"wtp","MES",17.9919859688063
"wtp","AFR",4.3829941367361
"wtp","IDZ",0.0365242157703276
"atp","CHN",11.2806057198684
"atp","JPN",6.55527432598307
"atp","KOR",9.42162066179778
"atp","TWN",0.665721796318228
"atp","IND",0.0729977948538081
"atp","CAN",0.0618610979402069
"atp","USA",22.3957828193983
"atp","MEX",0.181634078546777
"atp","BRA",0.505525977177083
"atp","RUS",2.44974496659196
"atp","LAM",2.28700864392864
"atp","EUR",28.9689427692882
"atp","ROE",1.51205634430209
"atp","ASI",10.0891301315059
"atp","REA",0.535085481828635
"atp","ANZ",1.28106877598079
"atp","MES",3.32666808809772
"atp","AFR",0.950540052834104
"atp","IDZ",0.00831085005879024
