"ii","jj","rr","ss","Val"
"otp","pdr","CHN","JPN",0.000123619005084038
"otp","pdr","CHN","KOR",0.0232968730926514
"otp","pdr","CHN","USA",6.72736912965775E-5
"otp","pdr","CHN","LAM",8.56884696986526E-7
"otp","pdr","CHN","EUR",5.71955041959882E-6
"otp","pdr","CHN","ASI",9.31353121995926E-5
"otp","pdr","CHN","REA",0.00493309492385015
"otp","pdr","CHN","AFR",1.69759598793462E-6
"otp","pdr","CHN","IDZ",0.00152449703216553
"otp","pdr","JPN","CHN",5.98851183895022E-7
"otp","pdr","JPN","TWN",1.54698416590691E-5
"otp","pdr","JPN","USA",1.32006662897766E-6
"otp","pdr","JPN","EUR",2.78193986741826E-6
"otp","pdr","JPN","ASI",9.61126410402358E-7
"otp","pdr","JPN","AFR",8.62594053614885E-7
"otp","pdr","IND","USA",0.00313853240013123
"otp","pdr","IND","LAM",8.97094584070146E-5
"otp","pdr","IND","EUR",0.0251253357043024
"otp","pdr","IND","ROE",9.23503935337067E-5
"otp","pdr","IND","ASI",9.46537703275681E-5
"otp","pdr","IND","REA",0.00142923974245787
"otp","pdr","IND","ANZ",1.53439021669328E-5
"otp","pdr","IND","MES",5.0281067378819E-5
"otp","pdr","IND","AFR",1.39416841557249E-6
"otp","pdr","IND","IDZ",0.000536498129367828
"otp","pdr","USA","CHN",4.32322081178427E-6
"otp","pdr","USA","JPN",7.80562311410904E-5
"otp","pdr","USA","KOR",0.0126045541763306
"otp","pdr","USA","TWN",0.00511984491348267
"otp","pdr","USA","CAN",0.00477363681793213
"otp","pdr","USA","MEX",0.00147140645980835
"otp","pdr","USA","BRA",2.77357990853488E-6
"otp","pdr","USA","LAM",0.014110525228898
"otp","pdr","USA","EUR",6.17021018988453E-5
"otp","pdr","USA","ROE",0.00725494934129529
"otp","pdr","USA","ASI",5.21371560171247E-6
"otp","pdr","USA","REA",3.27838123776019E-5
"otp","pdr","USA","ANZ",3.35360246826895E-5
"otp","pdr","USA","MES",3.31990706035867E-5
"otp","pdr","USA","AFR",6.83415224193595E-5
"otp","pdr","BRA","USA",1.84583887457848E-5
"otp","pdr","BRA","LAM",0.00023989279079251
"otp","pdr","BRA","EUR",0.00210898655653
"otp","pdr","BRA","ROE",7.1414076955989E-7
"otp","pdr","BRA","AFR",0.000923485158593394
"otp","pdr","RUS","USA",2.37851915881038E-6
"otp","pdr","RUS","ROE",0.00298169113928452
"otp","pdr","LAM","JPN",6.88057509250939E-7
"otp","pdr","LAM","KOR",8.24638516642153E-5
"otp","pdr","LAM","TWN",3.34270745515823E-5
"otp","pdr","LAM","CAN",1.93126761587337E-6
"otp","pdr","LAM","USA",0.000330620318651199
"otp","pdr","LAM","BRA",0.0114103302955627
"otp","pdr","LAM","RUS",1.06182554736733E-5
"otp","pdr","LAM","LAM",0.00804357190005248
"otp","pdr","LAM","EUR",0.0115262778757606
"otp","pdr","LAM","ROE",6.18421077379026E-5
"otp","pdr","LAM","REA",5.72536140680313E-7
"otp","pdr","LAM","MES",6.582100270316E-5
"otp","pdr","LAM","AFR",5.3312111645937E-5
"otp","pdr","EUR","USA",3.25837177224457E-5
"otp","pdr","EUR","BRA",5.15700131654739E-6
"otp","pdr","EUR","RUS",2.24110670387745E-6
"otp","pdr","EUR","LAM",5.29478071257472E-7
"otp","pdr","EUR","EUR",0.00886612823576434
"otp","pdr","EUR","ROE",0.000416520920698531
"otp","pdr","EUR","ANZ",7.65811407472938E-6
"otp","pdr","EUR","MES",4.93907472118735E-5
"otp","pdr","EUR","AFR",0.000124402516055852
"otp","pdr","ROE","EUR",2.52882759086788E-5
"otp","pdr","ROE","ROE",1.46806345437653E-5
"otp","pdr","ROE","MES",3.45599604770541E-6
"otp","pdr","ASI","CHN",0.000142427260056138
"otp","pdr","ASI","KOR",0.00606674385070801
"otp","pdr","ASI","CAN",4.14572516456246E-6
"otp","pdr","ASI","USA",0.000338334232568741
"otp","pdr","ASI","BRA",9.94264963082969E-7
"otp","pdr","ASI","RUS",3.69895529001951E-6
"otp","pdr","ASI","LAM",0.000107232523965649
"otp","pdr","ASI","EUR",0.0113469148557633
"otp","pdr","ASI","ROE",5.43021950870752E-5
"otp","pdr","ASI","ASI",0.00035504013299942
"otp","pdr","ASI","REA",2.37346696667373E-6
"otp","pdr","ASI","ANZ",0.000228069674223661
"otp","pdr","ASI","MES",7.11094434373081E-5
"otp","pdr","ASI","AFR",0.00749633762578014
"otp","pdr","ASI","IDZ",2.32679187320173E-6
"otp","pdr","REA","CHN",0.000274954050779343
"otp","pdr","REA","TWN",2.72691361606121E-5
"otp","pdr","REA","CAN",5.17264701193199E-6
"otp","pdr","REA","USA",0.000501422892324626
"otp","pdr","REA","LAM",1.99592397548258E-5
"otp","pdr","REA","EUR",0.0206779578084825
"otp","pdr","REA","ROE",0.00027428993396461
"otp","pdr","REA","ASI",7.55953311454505E-7
"otp","pdr","REA","REA",1.50125117506832E-5
"otp","pdr","REA","ANZ",2.00162314577028E-5
"otp","pdr","REA","MES",7.95355897862464E-5
"otp","pdr","REA","AFR",0.00305346982600167
"otp","pdr","ANZ","TWN",1.46604347974062E-5
"otp","pdr","ANZ","CAN",3.09345196001232E-6
"otp","pdr","ANZ","ASI",7.06213479861617E-6
"otp","pdr","ANZ","ANZ",0.000139171045273542
"otp","pdr","ANZ","AFR",1.20200337842107E-5
"otp","pdr","MES","ROE",5.8009191416204E-6
"otp","pdr","MES","MES",0.00414794254302979
"otp","pdr","AFR","USA",1.06635829433799E-6
"otp","pdr","AFR","EUR",5.55154611356556E-6
"otp","pdr","AFR","ROE",1.4747204259038E-5
"otp","pdr","AFR","MES",5.06341969594359E-6
"otp","pdr","AFR","AFR",0.00351481496769702
"otp","wht","IND","EUR",2.95521225780249E-6
"otp","wht","IND","ASI",1.27567653544247E-6
"otp","wht","IND","REA",0.000323003681667615
"otp","wht","IND","MES",0.000200173273566179
"otp","wht","IND","AFR",1.21735548600554E-6
"otp","wht","CAN","CHN",9.50552709400654E-6
"otp","wht","CAN","JPN",0.000357283085584641
"otp","wht","CAN","KOR",0.0272685089111328
"otp","wht","CAN","TWN",3.92545685172081E-5
"otp","wht","CAN","USA",0.014973671913147
"otp","wht","CAN","BRA",2.86255101673305E-6
"otp","wht","CAN","LAM",0.0019260554779321
"otp","wht","CAN","EUR",0.0137400767870713
"otp","wht","CAN","ROE",1.62906758487225E-5
"otp","wht","CAN","ASI",0.00428497006045654
"otp","wht","CAN","REA",0.000119305212050676
"otp","wht","CAN","ANZ",8.76723031979054E-6
"otp","wht","CAN","MES",0.00579649186134338
"otp","wht","CAN","AFR",0.00629142861749278
"otp","wht","CAN","IDZ",0.00942987155914307
"otp","wht","USA","CHN",6.08628112822771E-5
"otp","wht","USA","JPN",0.00118172132968903
"otp","wht","USA","KOR",0.0268664016723633
"otp","wht","USA","TWN",0.0127369594573975
"otp","wht","USA","CAN",0.000315718740224838
"otp","wht","USA","MEX",4.50432524085045E-5
"otp","wht","USA","BRA",5.1353950984776E-6
"otp","wht","USA","LAM",0.0074498810977675
"otp","wht","USA","EUR",0.0129475385419792
"otp","wht","USA","ROE",0.000892149998806417
"otp","wht","USA","ASI",0.00618826661631465
"otp","wht","USA","REA",0.00109315953031182
"otp","wht","USA","ANZ",3.72086581774056E-6
"otp","wht","USA","MES",0.0440867780447006
"otp","wht","USA","AFR",0.111383514603192
"otp","wht","USA","IDZ",0.00968179416656494
"otp","wht","MEX","USA",0.00031175771355629
"otp","wht","MEX","LAM",0.00130028164386749
"otp","wht","MEX","EUR",0.00149776577949524
"otp","wht","MEX","ROE",2.05759960226715E-6
"otp","wht","MEX","AFR",3.03808023454621E-5
"otp","wht","BRA","AFR",0.000274845505831763
"otp","wht","RUS","EUR",0.0135144075148855
"otp","wht","RUS","ROE",0.0219874566362705
"otp","wht","RUS","REA",0.000143016219139099
"otp","wht","RUS","MES",0.00312821402400732
"otp","wht","RUS","AFR",0.0131158333591302
"otp","wht","LAM","JPN",7.33947427943349E-6
"otp","wht","LAM","KOR",0.000182642969186418
"otp","wht","LAM","TWN",8.35950899636373E-5
"otp","wht","LAM","BRA",0.103925493240356
"otp","wht","LAM","LAM",0.00579391982615925
"otp","wht","LAM","EUR",0.000251599648909178
"otp","wht","LAM","ROE",5.96038298681378E-6
"otp","wht","LAM","ASI",4.2294804006815E-5
"otp","wht","LAM","REA",7.23928678780794E-6
"otp","wht","LAM","MES",0.000624932843784336
"otp","wht","LAM","AFR",0.0129967941378127
"otp","wht","LAM","IDZ",6.3281322887633E-5
