"ii","rr","ss","Val"
"isr","CHN","CHN",0.422935745239258
"isr","CHN","JPN",0.136694522857666
"isr","CHN","KOR",0.124725681304932
"isr","CHN","TWN",0.101200246334076
"isr","CHN","IND",0.067422477722168
"isr","CHN","CAN",0.0213815169334412
"isr","CHN","USA",0.289194290161133
"isr","CHN","MEX",0.0918593711853027
"isr","CHN","BRA",0.0574589776992798
"isr","CHN","RUS",0.0543991870880127
"isr","CHN","LAM",0.0900062999352813
"isr","CHN","EUR",0.576189412217587
"isr","CHN","ROE",0.0989719517379999
"isr","CHN","ASI",0.629585629224777
"isr","CHN","REA",0.0299362876825035
"isr","CHN","ANZ",0.0393490568513516
"isr","CHN","MES",0.327098404169083
"isr","CHN","AFR",0.0973147677518427
"isr","CHN","IDZ",0.0142146191596985
"isr","JPN","CHN",0.63573356628418
"isr","JPN","KOR",0.052058723449707
"isr","JPN","TWN",0.0864771423339844
"isr","JPN","IND",0.0376209411621094
"isr","JPN","CAN",0.00995402240753174
"isr","JPN","USA",0.986744995117187
"isr","JPN","MEX",0.0440374374389648
"isr","JPN","BRA",0.0267564582824707
"isr","JPN","RUS",0.0147660789489746
"isr","JPN","LAM",0.0894639278277755
"isr","JPN","EUR",0.452105844587088
"isr","JPN","ROE",0.0618640258461237
"isr","JPN","ASI",0.100822555065155
"isr","JPN","REA",0.0275609383434057
"isr","JPN","ANZ",0.0180648104697466
"isr","JPN","MES",0.278766083240509
"isr","JPN","AFR",0.0873184296190739
"isr","JPN","IDZ",0.0119662132263184
"isr","KOR","CHN",0.170817373275757
"isr","KOR","JPN",0.0810268173217773
"isr","KOR","TWN",0.018700496673584
"isr","KOR","IND",0.00883642768859863
"isr","KOR","CAN",0.00408711099624634
"isr","KOR","USA",0.244483840942383
"isr","KOR","MEX",0.00996110725402832
"isr","KOR","BRA",0.00671490049362183
"isr","KOR","RUS",0.0100961570739746
"isr","KOR","LAM",0.0260155690349638
"isr","KOR","EUR",0.125062255512923
"isr","KOR","ROE",0.0186342121660709
"isr","KOR","ASI",0.120383116006851
"isr","KOR","REA",0.0082055025100708
"isr","KOR","ANZ",0.00805142068210989
"isr","KOR","MES",0.0733902703523636
"isr","KOR","AFR",0.0280197745338082
"isr","KOR","IDZ",0.00470527935028076
"isr","TWN","CHN",0.118077307939529
"isr","TWN","JPN",0.092111442565918
"isr","TWN","KOR",0.0187550926208496
"isr","TWN","IND",0.0293243408203125
"isr","TWN","CAN",0.027741720199585
"isr","TWN","USA",0.242284149169922
"isr","TWN","MEX",0.0182500839233398
"isr","TWN","BRA",0.0386295623779297
"isr","TWN","RUS",0.0297094802856445
"isr","TWN","LAM",0.0359037554562092
"isr","TWN","EUR",0.293791093200445
"isr","TWN","ROE",0.023204514414072
"isr","TWN","ASI",0.0176730794906616
"isr","TWN","REA",0.0111734468191862
"isr","TWN","ANZ",0.0248839902908076
"isr","TWN","MES",0.0405140467584133
"isr","TWN","AFR",0.0323875319510698
"isr","TWN","IDZ",0.0131941843032837
"isr","IND","CHN",0.963262817382812
"isr","IND","JPN",0.00638266801834106
"isr","IND","KOR",0.0549261779785156
"isr","IND","TWN",0.0234505558013916
"isr","IND","CAN",0.00813126850128174
"isr","IND","USA",0.194416641235352
"isr","IND","MEX",0.0737034454345703
"isr","IND","BRA",0.0425903167724609
"isr","IND","RUS",0.00402795362472534
"isr","IND","LAM",0.0625226379297674
"isr","IND","EUR",0.380709720429033
"isr","IND","ROE",0.0601981437653303
"isr","IND","ASI",0.256070351362228
"isr","IND","REA",0.019423228263855
"isr","IND","ANZ",0.0111922653783113
"isr","IND","MES",0.117269324779511
"isr","IND","AFR",0.0670630130022764
"isr","IND","IDZ",0.00909840965270996
"isr","CAN","CHN",0.715439247131348
"isr","CAN","JPN",0.0157618274688721
"isr","CAN","KOR",0.0481145477294922
"isr","CAN","TWN",0.0252148780822754
"isr","CAN","IND",0.052024715423584
"isr","CAN","USA",3.97077880859375
"isr","CAN","MEX",0.0518662796020508
"isr","CAN","BRA",0.0300367736816406
"isr","CAN","RUS",0.00826039123535156
"isr","CAN","LAM",0.1922861430794
"isr","CAN","EUR",0.499564908199012
"isr","CAN","ROE",0.0747400727570057
"isr","CAN","ASI",0.165339282989502
"isr","CAN","REA",0.0514724182784557
"isr","CAN","ANZ",0.018485406043008
"isr","CAN","MES",0.244867823600769
"isr","CAN","AFR",0.177278561860323
"isr","CAN","IDZ",0.0257862243652344
"isr","USA","CHN",0.970835021972656
"isr","USA","JPN",2.40703442382812
"isr","USA","KOR",0.692260620117187
"isr","USA","TWN",0.228730590820312
"isr","USA","IND",0.440559936523438
"isr","USA","CAN",3.03931298828125
"isr","USA","MEX",0.947378051757813
"isr","USA","BRA",0.292239624023438
"isr","USA","RUS",0.134829330444336
"isr","USA","LAM",0.7889008654356
"isr","USA","EUR",6.77743087315559
"isr","USA","ROE",0.621608565807343
"isr","USA","ASI",0.698029418945313
"isr","USA","REA",0.248353163719177
"isr","USA","ANZ",0.43879858918488
"isr","USA","MES",1.45397681427002
"isr","USA","AFR",0.927857047736645
"isr","USA","IDZ",0.128466094970703
"isr","MEX","CHN",0.877477165222168
"isr","MEX","JPN",0.016869213104248
"isr","MEX","KOR",0.0489240074157715
"isr","MEX","TWN",0.0146272926330566
"isr","MEX","IND",0.0501142044067383
"isr","MEX","CAN",0.00741147804260254
"isr","MEX","USA",0.291892456054687
"isr","MEX","BRA",0.0387686309814453
"isr","MEX","RUS",0.000840946972370148
"isr","MEX","LAM",0.0603828558325767
"isr","MEX","EUR",0.502549853541888
"isr","MEX","ROE",0.0542821670621634
"isr","MEX","ASI",0.0952867980003357
"isr","MEX","REA",0.018100363984704
"isr","MEX","ANZ",0.0100478627462871
"isr","MEX","MES",0.0957714915275574
"isr","MEX","AFR",0.0638913928754628
"isr","MEX","IDZ",0.00859582996368408
"isr","BRA","CHN",0.242289064407349
"isr","BRA","JPN",0.034024055480957
"isr","BRA","KOR",0.0178384780883789
"isr","BRA","TWN",0.0355301933288574
"isr","BRA","IND",0.0144954462051392
"isr","BRA","CAN",0.00331912803649902
"isr","BRA","USA",0.246311264038086
"isr","BRA","MEX",0.0173429889678955
"isr","BRA","RUS",0.00123958301544189
"isr","BRA","LAM",0.0282922799810767
"isr","BRA","EUR",0.134174313800409
"isr","BRA","ROE",0.022916071087122
"isr","BRA","ASI",0.0328230385780334
"isr","BRA","REA",0.00901464626565576
"isr","BRA","ANZ",0.00557807941175997
"isr","BRA","MES",0.106542346358299
"isr","BRA","AFR",0.0275257252044976
"isr","BRA","IDZ",0.00357573461532593
"isr","RUS","CHN",0.039863406419754
"isr","RUS","JPN",0.00621359443664551
"isr","RUS","KOR",0.00205587911605835
"isr","RUS","TWN",0.0238671607971191
"isr","RUS","IND",0.0460915069580078
"isr","RUS","CAN",0.00477728605270386
"isr","RUS","USA",0.187502716064453
"isr","RUS","MEX",0.00210095286369324
"isr","RUS","BRA",0.000708913445472717
"isr","RUS","LAM",0.0224563723858446
"isr","RUS","EUR",0.285039476633072
"isr","RUS","ROE",0.0337963897883892
"isr","RUS","ASI",0.0183595854043961
"isr","RUS","REA",0.007054403655231
"isr","RUS","ANZ",0.00249839383922517
"isr","RUS","MES",0.0743920276165008
"isr","RUS","AFR",0.0264332248177379
"isr","RUS","IDZ",0.00292487668991089
"isr","LAM","CHN",0.174502647687681
"isr","LAM","JPN",0.093676498811692
"isr","LAM","KOR",0.02927525459975
"isr","LAM","TWN",0.0299196368344128
"isr","LAM","IND",0.0482745209038258
"isr","LAM","CAN",0.109575837858021
"isr","LAM","USA",0.746254839837551
"isr","LAM","MEX",0.0430327074285597
"isr","LAM","BRA",0.0248097845530137
"isr","LAM","RUS",0.0251778353136033
"isr","LAM","LAM",0.0682357583635603
"isr","LAM","EUR",0.739437557611148
"isr","LAM","ROE",0.0453712535062805
"isr","LAM","ASI",0.0789323280317476
"isr","LAM","REA",0.0211853207414388
"isr","LAM","ANZ",0.0291327082365751
"isr","LAM","MES",0.143152184520673
"isr","LAM","AFR",0.07783713680855
"isr","LAM","IDZ",0.0117912575616501
"isr","EUR","CHN",3.19728446962312
"isr","EUR","JPN",1.27617699843645
